медбур	best
водзкыв	foreword
водзмӧстчӧм	initiative
водзӧс	loan
водитель	driver
водка	vodka
военнопленнӧй	POW
вож	branch
вож	fork
вож	shaft
вож	thill
вождь	leader
вой	night
войвыв	north
войков	night
война	war
войска	army
войт	drip
войт	drop
войтыр	nation
войтыр	people
войтырсикас	nation
войтӧвкай	chaffinch
вок	nephew
вок	niece
вок	brother
вокзал	station
вольпась	bed
вом	mouth
вомӧнасянін	crossing
вомӧнасянін	intersection
вопрос	question
вопрос	issue
вор	trough
ворга	gutter
ворга	trough
ворга	channel
ворота	goal
ворсан	instrument
ворсан	toy
ворсанпас	notes
ворсанпас	music
ворсанін	playground
ворсысь	actor
ворсысь	player
ворсӧм	game
ворсӧм	game
ворсӧм	playing
воспитатель	tutor
воспитатель	educator
воськов	step
восьлас	gate
восьлас	stride
восьтан	corkscrew
восьтан	key
вот	tax
вотшлы	collarbone
вотӧс	berry
воштӧм	loss
враг	enemy
врач	doctor
врач	physician
вредитель	pest
вугыр	fishhook
вуджӧдчанін	crossing
вуджӧдчысь	translator
вуджӧм	crossing
вуджӧр	shadow
вуж	root
вузасянін	store
вузасянін	shop
вузӧс	merchandise
вузӧс	wares
вундӧм	harvesting
вундӧм	cutting
вундӧм	cut
вундӧм	amputation
вунӧдӧм	forgetting
вурд	otter
вурдысь	mole
вурсьысь	seamstress
вурсьысь	tailor
вурун	wool
вурыс	scar
вурыс	seam
вурыс	stitch
выв	surface
выв	top
вывод	conclusion
выгӧда	profit
выгӧда	gain
вый	butter
вый	oil
вый	point
вый	verge
вылна	altitude
выльторъяс	news
вын	power
вынйӧр	power
вынйӧр	capasity
выставка	exhibit
выставка	exhibition
выть	appetite
вышивка	embroidery
вышка	tower
вьетнамец	Vietnamese
вӧв	horse
вӧдитчысь	user
вӧжжи	reins
вӧзйӧг	decision
вӧзьӧд	notch
вӧлтар	altar
вӧля	liberty
вӧлӧга	staples
вӧлӧга	food
вӧр	forest
вӧралысь	hunter
вӧралӧм	hunting
вӧрас	liveliness
вӧрас	movement
вӧрзьӧдчӧм	movement
вӧрк	kidney
вӧркань	lynx
вӧрпа	beast
вӧртас	horizon
вӧрӧк	pile
вӧрӧк	heap
вӧт	dream
вӧтлысь	driver
вӧчӧмтор	handcraft
вӧчӧмтор	product
гаг	beetle
гаг	bug
гаг	insect
гагныр	auger
гагныр	gimlet
гадь	bladder
гадь	membrane
гадь	pellicle
гадь	bubble
гадь	balloon
гадь	callous
гадь	blister
гаж	joy
гаж	happiness
гажалӧм	wish
гажалӧм	desire
гажлун	joy
гажлун	happiness
газ	gas
газет	newspaper
гала	gala
галанка	rutabaga
галанка	Swede
галерея	gallery
галстук	(neck)tie
галстук	cravat
гар	bud
гараж	garage
гараланпом	souvenir
гарантия	guarantee
гармонист	accordianist
гармонь	concertina
гарнизон	garrison
гартӧд	wrapping
гас	lamp
гач	trousers
гач	pants
гвардеец	guardsman
гвардия	guards
геб	gnat
гегемония	hegemony
гежӧм	ditch
гез	rope
гез	cord
гектар	hectar
ген	gene
генерал	general
географ	geographer
география	geography
геолог	geologist
геология	geology
геометрия	geometry
герой	hero
герцог	duke
гигант	giant
гигиена	hygiene
гид	fold
гид	pasture
гиджгысь	rodent
гидня	stable
гижанног	handwriting
гижта	line
гижта	scriber
гижтысьӧм	drawing
гижысь	writer
гижысь	author
гижӧд	text
гижӧд	article
гижӧдтор	note
гижӧдтор	letter
гижӧм	writing
гильза	shell
гимн	hymn
гимназия	Gymnasium
гимнастика	gymnastics
гира	weight
гирснитӧм	scar
гирснитӧм	gouge
гитара	guitar
глава	head
глава	chief
глава	chapter
глас	motief
глас	melody
глас	voice
гласнӧй	vowel
глыза	lumb
глыза	clod
гоб	boletus
гоблик	pit
гоблик	whirlpool
гобльӧг	pit
гобльӧг	whirlpool
гогын	plane
гожӧм	summer
гоз	couple
гоз	pair
гозъя	spouses
гозъёрт	spouse
голод	hunger
голод	starvation
гольган	throat
гольган	trachea
голя	throat
голя	neck
гор	voice
горда	mallard
гордосьт	pride
горзӧм	yell
горзӧм	yelling
горизонт	horizon
горняк	miner
горс	burrow
горт	home
горт	coffin
гортань	larynx
гортгӧгӧрса	domestic
горш	throat
гос	fat
госпиталь	lazarette
госпиталь	hospital
господин	Mr.
господин	mister
госпожа	mrs.
государ	sovereign
государство	state
грабеж	robbery
градус	degree
градусник	thermometer
гражданин	citizen
грамм	gram
грамматика	grammar
грамота	diploma
грамота	literacy
гран	grain
гран	verge
гран	brink
гран	side
граната	grenade
гранит	granite
границя	border
границя	boundary
гранки	verge
гранки	brink
гранки	side
графин	decanter
графин	carafe
грезд	hamlet
грек	sin
грек	temptation
греческӧй	Greek
гречуга	buckwheat
грипп	flu
громкоговоритель	loudspeaker
груда	heap
груда	pile
груз	cargo
груз	freight
грузӧвик	truck
грузӧвик	lorry
группа	group
грыжа	hernia
грыжа	rupture
грӧз	threat
гу	pit
гу	grave
гу	cave
губерния	guberniya
губерния	province
губерня	guberniya
губерня	province
гуг	back(side)
гуг	underside
гуджгысьяс	rodents
гулень	playboy
гулень	reveler
гулю	pigeon
гулю	dove
гумыльга	whirlpool
гумыльга	whirlwind
гундыр	dragon
гуран	pit
гуран	pothole
гуран	rut
гуран	groove
гуран	hollow
гуран	ravine
гурина	gudgeon
гусь	thief
гусяватша	bastard
гусясьысь	thief
гусятор	secret
гут	fly
гы	wave
гыбад	swamp
гыбад	marsh
гыбад	quagmire
гыж	(finger)nail
гыж	hoof
гыжна	scratch
гым	thunder
гымалӧм	thunder
гын	felt
гындей	fuller
гырд	blood
гырд	gore
гырддза	elbow
гырк	torso
гырк	trunk
гыркӧс	burrow
гырнич	pot
гырнич	vase
гӧбӧч	cellar
гӧг	naval
гӧгинь	midwife
гӧглян	wheel
гӧглян	puck
гӧглян	disk
гӧгпи	grandchild
гӧгрӧсмӧм	rounded
гӧгыль	wheel
гӧгыль	disk
гӧгӧра	loon
гӧгӧрвоӧдантор	attribute
гӧгӧртас	space
гӧгӧртас	expanse
гӧлик	broom
гӧлуб	dove
гӧлуб	pigeon
гӧльлун	poverty
гӧлӧва	head
гӧлӧс	voice
гӧн	fur
гӧн	down
гӧн	feather
гӧн	fuzz
гӧп	pit
гӧп	wolfpit
гӧр	plow
гӧра	mountain
гӧрб	hump
гӧрб	back
гӧрддзым	roll
гӧрддзым	scroll
гӧрдлӧм	whinnying
гӧрдлӧм	neighing
гӧрӧд	knot
гӧрӧд	problem
гӧстинеч	present
гӧсьт	guest
гӧтыр	wife
гӧтырпу	fiancee
гӧч	cartilage
дадь	sled
дар	ladle
дарвинизм	Darwinism
дарга	ruff
дарга	gudgeon
дарга	gobi
даръюр	tadpole
даса	tenner
дасьлун	readiness
дасьлун	preparedness
дача	dacha
двигатель	engine
движение	movement
двоевластие	diarchy
двоеточы	colon
двор	court
двореч	palace
дворянин	nobelman
двӧйни	twins
деветибрат	tansy
дед	grandfather
дедӧ	grandfather
дежурнӧй	orderly
дежурство	duty
дезертир	deserter
дезорганизатор	disorganizer
действие	action
декабр	December
декларация	declaration
декрет	decree
делегат	delegate
делегация	delegation
деливӧ	file
деливӧ	dossier
делӧ	affair
делӧ	case
делӧ	uncomfortable
делӧ	difficult
делӧ	sickly
демилитаризация	demilitarization
демобилизация	demobilization
демография	demography
демократ	democrat
демократизм	democratism
демократия	democracy
демонстрация	demonstration
демострант	demonstrator
денщик	batman
денщик	orderly
деньга	money
департамент	department
депо	depot
депутат	deputy
деревня	village
держава	power
десант	landing
десятник	foreman
детдом	orphanage
детина	boy
детинка	boy
детсад	kindergarten
деятель	figure
джадж	shelf
джек	chair
джекпом	block
джекпом	log
джиан	nuthatch
джинсы	jeans
джодж	floor
джуджда	height
джуджда	altitude
джуджда	depth
джуджта	height
джуджта	altitude
джум	whirlpool
джын	half
дзав	lathing
дзав	shingle
дзебан	funeral
дзебас	cache
дзель	lamb
дзель	sheep
дзескыдін	prison
дзескыдін	jail
дзескӧдӧм	descrimination
дзескӧдӧм	oppression
дзиб	hill
дзиб	height
дзибкай	goldfinch
дзиж	cracklings
дзимбыр	gravel
дзир	vertabra
дзирвидзысь	visible
дзирд	brightness
дзирд	brilliance
дзирд	shining
дзирд	glimmering
дзирд	twinkling
дзиридз	pebbles
дзиръя	gate
дзодзув	lizard
дзодзӧг	goose
дзодзӧгпи	gosling
дзонь	virgin
дзоньвидзалун	health
дзор	gray
дзор	hoary
дзоридз	flower
дзоридз	blossom
дзуг	snare
дзуг	noose
дзулля	swivel
дзульк	bubble
дзурк	drill
диаграмма	diagram
диаграмма	chart
диалектика	dialectics
диван	divan
диван	sofa
диверсант	saboteur
диверсия	deversion
диверсия	sabotage
дивиденд	dividend
дивизия	division
дивӧ	wonder
дивӧ	miracle
диета	diet
дикар	savage
дикмӧдчантор	drug
дикмӧдчантор	narcotic
дикмӧдчантор	intoxicant
диктатура	dictatorship
диктовка	dictation
дикӧвина	wonder
дикӧвина	novelty
динамит	dynamite
динамо	dynamo
динар	dinar
диплом	diploma
диплом	certificate
диплом	research
дипломат	diplomat
дипломатия	diplomacy
директива	directive
директор	director
дирекция	management
дискотека	disco(teque)
диспансер	sanitarium
дисциплина	discipline
дитюк	child
дитя	child
дифтерия	diphtheria
дневник	diary
дневник	journal
доблесьт	valor
добра	property
добра	things
доброволец	volunteer
договор	contract
додь	sleigh
додь	sledge
додюв	sledgefull
доз	pottery
доз	vessel
доз	box
доз	bottle
дозмук	utensil
дозмук	crockery
дознанье	inquest
дознанье	inquiry
дой	pain
дой	ache
доймӧм	injury
доймӧм	pain
доймӧмін	wound
доказательство	proof
доказательство	evidence
доклад	presentation
доклад	speech
документ	document
долг	debt
должен	must
должен	owe
должносьт	post
должносьт	position
должносьт	office
доллар	dollar
долыдлун	gladness
долыдлун	joy
дом	bridle
дом	reins
дом	mooring
дом	leash
домен	domain
домӧд	bridle
домӧд	mooring
домӧд	leash
дон	price
дон	worth
донатор	valuable
донатор	treasure
донесение	message
донос	denunciation
донос	accusation
допрос	interrogation
допрос	questioning
дор	edge
дорйысьысь	advocate
дорйӧг	advocate
дорсьысь	blacksmith
дорччысь	blacksmith
дорыш	edge
дорыш	salvage
дорӧс	vicinity
достижение	achievement
достоинство	dignity
достоинство	value
дотация	subsidy
доход	income
доход	revenue
доцент	docent
дояин	injury
дояин	wound
доярка	milkmaid
драма	drama
драматургиа	dramaturgy
дранеч	lath
дранеч	shingle
дрань	rubbish
дрань	trash
дружба	friendship
дрӧб	shot
дрӧбезги	splinter
дрӧбезги	fragment
дрӧбӧвик	shotgun
дрӧж	tremor
дрӧж	trembling
дуан	obstinate
дуб	oak
дуді	pigeon
дуді	dove
дук	smell
дук	odor
дук	moment
дуль	saliva
дуль	slobber
дум	thought
дум	idea
дум	opinion
дум	view
дум	wish
дум	intention
душ	shower
душник	ventilator
дыж	membrane
дымӧвӧлӧк	opening
дыр	time
дыр	period
дыр	turn
дышлун	laziness
дышӧдчысь	lazy
дышӧдчысь	loafer
дьӧгӧдь	tar
дюжина	dozen
дявӧл	devil
дяк	scribe
дякӧн	deacon
ді	island
дізь	bang!
дін	place
дісек	bench
дітш	bang!
дітш	slap
дӧва	widow
дӧведь	checkers
дӧвеч	widower
дӧзьӧр	supervision
дӧзьӧр	care
дӧзьӧр	patrol
дӧнзьӧдӧм	disturbance
дӧра	burlap
дӧра	canvas
дӧрапас	flag
дӧрӧм	shirt
дӧсада	annoyance
дӧска	chalkboard
дӧска	blackboard
евангелльӧ	gospel
еврей	Jew
едок	eater
ем	needle
емдон	steel
ен	god
енби	gift
енби	talant
енгаг	ladybug
енкай	skylark
енкыа	horizon
енкӧла	horizon
енмогысь	please!
енсаридз	paradise
ентас	horizon
енэж	sky
енэжтас	horizon
епископ	bishop
еретник	heretic
ермӧг	silk
жаль	pity
жалӧба	complaint
жар	heat
жар	temperature
жаравеч	shadoof
жатка	binder
жатка	harvester
желля	prickly
желля	thorny
жель	chip
жель	spinter
жельтор	chip
жельтор	splinter
жертва	sacrifice
живопись	painting
живопись	paintings
жмитун	miser
жмитун	skinflint
жнейка	binder
жнейка	harvester
жонь	bullfinch
жуг	chaff
жугалӧм	breakage
жуж	beetle
жук	beetle
жулик	cheat
жулик	swindler
жури	jury
журнал	journal
журналист	journalist
жуӧд	dell
жылетка	waistcoat
жыннян	bell(s)
жыр	stall
жыр	jug
жыр	pen
жыр	room
жытник	granary
жӧлвак	tumour
жӧлӧб	gutter
жӧлӧб	trough
жӧлӧб	chute
жӧм	press
жӧник	fiance
жӧник	bridegroom
жӧник	suitor
за	st
за	stalk
за	use
за	benefit
за	'pro'
забастовка	strike
забой	quarry
забор	fence
заведующӧй	manager
заведующӧй	head
завет	advice
завет	counsil
завет	testament
завещание	will
завещание	testament
завидь	envy
завод	factory
завод	gear
заводитчӧм	beginning
завтрак	breakfast
заглавие	title
заглавие	headline
заговор	conspiracy
заготовка	procurement
заготовка	reserving
заграждение	obstruction
заграждение	entanglement
загун	shed
загун	roof
загӧвӧр	charm
загӧвӧр	conjuration
зад	posterior
задание	problem
задание	homework
заданньӧ	task
заданньӧ	job
задача	problem
задача	task
задев	hindrance
задев	impediment
задник	heel
заказ	order
закалка	tempering
заклад	collateral
закладна	collateral
закладна	lien
закод	lavatory
закон	law
законодательство	legislation
зал	hall
залавка	cupboard
залеж	bed
залеж	seam
залив	gulf
залив	bay
залог	voice
заложник	hostage
залп	volley
замазка	putty
заменитель	substitute
заместитель	replacement
заместитель	substitute
заметка	news
заметка	mark
заметка	note
заметка	observation
замечание	remark
замечание	observation
замечание	reprimand
замша	chamois
занавес	curtain
занятие	class
занятие	lesson
занятие	studies
занятосьт	employment
западня	snare
западня	trap
запанки	stud
запас	provision
запас	stock
запас	store
запас	supply
запас	reserves
записка	note
запрет	prohibition
запятая	comma
заработка	income
заработка	wages
зараза	epidemic
заргум	(zarc4ipsan)
зарни	gold
зарок	promise
заседание	session
заслуга	merit
заслуга	service
засуха	dryness
засуха	drought
зачин	beginning
зачин	introduction
зачин	initiative
заявление	application
заём	loan
збыльтор	truth
збыльтор	fact
звук	sound
звӧн	sound
згӧвӧр	haughtiness
згӧвӧр	arrogance
здук	second
зелля	poison
зелля	potion
земляк	compatriot
земскӧй	Zemstvo
земскӧй	provincial
зеп	pocket
зимогор	vagrant
зимогор	hobo
змей	snake
знак	sign
знак	mark
знак	symbol
знаменатель	denominator
знамя	banner
знамя	standard
знание	knowledge
значение	meaning
значение	definition
значение	significance
зоб	stomach
зоб	gut
зоб	crop
зонм	boy
зонпосни	kid
зонтик	umbrella
зонтик	parasol
зоология	zoology
зоопарк	zoo
зор	pole
зор	lever
зорӧд	hayrick
зорӧд	haystack
зу	hairbrush
зуд	whetstone
зудӧс	bundle
зудӧс	bunch
зульӧ	sloven
зыбка	crib
зыбка	cradle
зывӧк	disgust
зывӧк	disgusting
зывӧк	repulsive
зык	enmity
зык	hostility
зык	argument
зык	noise
зымшыр	mole
зын	stench
зынапу	elder
зыр	shovel
зырым	snot
зырымбедьдыр	childhood
зыряна	Zyrians
зьваг	fiery
зьваг	passioned
зьӧм	instep
зэр	rain
зіля	sleet
зӧлӧта	gold
зӧлӧтука	scrofula
зӧлӧтука	struma
зӧр	wart
зӧр	oats
зӧрк	bang!
зӧрк	crack!
зӧрна	snipe
зӧртусь	wart
ид	barley
идеал	ideal
идеализм	idealism
идеолог	ideologist
идеология	ideology
идея	idea
идея	thought
идз	st
идз	stalk
идза	stubble
идзас	straw
идзас	hay
идӧг	angel
идӧр	tidiness
идӧр	neatness
из	rock
из	stone
изан	grinding
изанін	mill
издание	publication
изки	millstone
измена	treason
измена	betrayal
изсир	amber
изысь	grinder
изӧм	grinding
изӧм	grind
ил	silt
империализм	imperialism
империя	empire
ин	place
ин	area
иналун	value
инбыр	ginger
инвалид	invalid
инвалид	disabled
инвентарь	inventory
инвестиция	investment
инвестор	investor
индустриализация	industrialization
индустрия	industry
индысь	pointer
индӧд	decree
индӧд	ukase
индӧм	indication
инерция	inertia
инерция	momentum
инженер	engineer
инициатива	initiative
инкубатор	incubator
иностранец	foreigner
инспектор	inspector
инспекция	inspection
институт	institute
инструктор	instructor
инструмент	tool
инструмент	instrument
интеллигенция	intelligentsia
интервенция	intervention
интервью	interview
интерес	interest
инфекциа	infection
инфинитив	infinitive
инфлациа	inflation
информация	information
инфраструктура	infrastructure
инӧд	right
ис	stench
ис	reek
исерга	earring
иск	suit
иск	action
искусство	art
искусство	skill
испытание	trial
испытание	test
испытание	ordeal
исследование	research
исследователь	research
историк	historian
история	historia
истӧг	match
истӧг	sulphur
итог	result
итог	sum
итог	total
итыль	obstinate
итыль	haughty
ичмонь	bride
ичӧтдыр	childhood
йи	ice
йидж	cloud
йиді	iceberg
йикмӧс	tab
йикмӧс	hook
йинёнь	icicle
йирк	ceiling
йирмӧг	trembling
йирмӧг	tremor
йисыр	icicle
йитас	joining
йитас	linking
йитвеж	joint
йиткыр	knot
йитлӧм	joining
йитлӧм	tying
йитлӧм	sewing
йитӧд	tie
йитӧд	contact
йитӧд	relation
йитӧд	conjunction
йитӧс	chain
йитӧс	conjunction
йитӧскыв	conjunction
йыв	tip
йыв	peak
йыв	end
йыв	headwaters
йылӧм	throng
йылӧм	horde
йӧв	milk
йӧвва	whey
йӧг	boil
йӧг	bump
йӧг	blister
йӧг	burl
йӧгалан	darling
йӧгалан	honey
йӧгра	Obugrians
йӧж	raw
йӧз	people
йӧзви	joint
йӧзкотыр	society
йӧзкотыр	population
йӧзсикас	humanity
йӧзсикас	mankind
йӧйлун	stupidity
йӧйру	foolishness
йӧктанін	disco(teque)
йӧктысь	dancer
йӧктӧм	dance
йӧктӧм	dancing
йӧла	echo
йӧлӧга	echo
йӧмкӧ	freely
йӧмкӧ	well
йӧнгыль	lump
йӧнгыль	tumor
йӧнгыль	knot
йӧнгыль	tie
йӧр	garden
йӧр	pen
йӧра	moose
йӧрапи	moosecalf
йӧрнӧс	shirt
йӧрсӧн	cramp
йӧрсӧн	convulsion
йӧртӧд	granary
йӧрш	ruff
кабак	servitude
кабак	tavern
кабала	paper
кабала	document
кабина	booth
кабыр	fist
кабыртыр	handful
кабыртыр	fistful
кавалерия	cavalry
кага	baby
кад	time
кад	tense
кад	marsh
кад	swamp
кадакыв	verb
кадакывберд	adverb
кадакывпод	infinitive
кадж	sacrum
кадж	hipbone
кадколаст	era
кадпас	date
кадр	personell
кадр	regular
кадриль	quadrille
кадръяс	personnel
каета	remorse
казак	Cossack
казна	Exchequer
казна	Treasury
казначейство	treasury
казь	snare
казьт	recollection
казьт	memory
казьтылӧм	recollection
казьтылӧм	memory
кай	penis
кайяп	profligate
кайяп	lecher
какао	cocoa
каланча	watchtower
калбас	sausage
календар	calendar
калига	rutabaga
калига	Swede
калинкор	buckram
калич	bolt
калым	bribe
калькулятор	calculator
кальсы	crossbill
камод	dresser
камод	bureau
кампания	campaign
кампет	candy
кампет	sweets
кампет	goodies
кампетпреник	sweets
кампетпреник	goodies
кан	czar
кан	khan
кан	nation
канава	ditch
канал	canal
канал	channel
канат	rope
канат	tightrope
кандидат	candidate
кандидат	kandidat
кандидатура	candidacy
каникул	vacation
канкерка	customs
канму	state
канму	country
канонада	cannonade
кансям	politics
кантук	tub
канцелярия	office
кань	cat
каньпи	kitten
капитал	capital
капитализм	capitalism
капиталист	capitalist
капитан	captain
капитуляция	surrender
капитуляция	capitulation
капкан	trap
капкан	snare
капля	drop
капуста	cabbage
кар	city
кар	town
карабл	ship
каракуль	caracul
каракуль	astrakhan
карандаш	pencil
карантин	quarantine
карасин	kerosene
караул	guard
карбас	ferry
карбас	barge
кард	splint
карета	coach
карета	carriage
каржа	gravel
карикатура	cartoon
карикатура	caricature
карниз	cornice
карп	carp
карса	urbanite
карта	map
картина	picture
картина	painting
картон	cardboard
картошка	potato
картупель	potato
карті	card
карті	cards
карьер	quarry
каска	helmet
касса	cashier's
кассир	cashier
катаржик	convict
катастрофа	catastrophe
катастрофа	disaster
категория	category
катер	waddle
католик	Catholic
катша	magpie
кафедра	department
качество	quality
кашемир	cashmere
кашник	pot
каюта	cabin
каюта	stateroom
квадрат	square
квалификация	qualification
квалификация	skill
квартал	quarter
квартира	apartment
квартира	flat
квастун	braggart
квота	quota
кевмысянін	chapel
кедзовтӧм	hostility
кежанін	turn
кежасян	hope
кез	willow
кельчи	roach
кень	skin
кень	ice
кеня	jay
кеп	bunch
кеп	bundle
кепка	cap
кепысь	gloves
кепысь	mittens
кер	log
кер	timber
керамика	ceramics
керан	adz
керка	house
керӧм	action
кес	pincers
кес	nippers
кесйӧг	slave
кесйӧгалӧм	slavery
кесйӧс	obedient
кесйӧс	industrious
кеслач	servant
кесъялысь	agent
ки	hand
ки	arm
кидӧс	obstacle
кидӧс	hinderance
кидӧс	semblance
кижа	frost
кила	hernia
кила	rupture
кило	kilogram
килограмм	kilogram
километр	kilometer
килутш	wrist
киль	husk
киль	peel
киль	dandruff
кильчӧ	porch
кимия	chemistry
кин	who
кинематографист	cinematographer
кинжал	dagger
кино	movie
кинокартина	movie
кинь	spark
киняув	armpit
кипель	weapon
кипод	hand
кипод	deftness
киподтуй	hand
кипом	hand
кирка	pick
кирпич	brick
кирург	surgeon
кисель	kisel
кисьлӧс	lath
кисьлӧс	shingle
кисьмӧм	ripening
китаец	Chinese
кичига	flail
кладовщик	storeman
кладӧвӧй	pantry
кладӧвӧй	larder
кладӧвӧй	storeroom
клам	junk
клам	rubbish
класс	class
классик	classicist
клевер	clover
клей	glue
клей	paste
клейма	stamp
клестер	paste
клетка	cage
клетка	square
клещи	tongs
климат	climate
клип	clip
клоп	bang!
клопок	applause
клопок	cotton
клор	clorine
клоун	clown
клуб	club
ключ	spring
ключ	source
кляп	gag
кляпча	jade
кляпча	plug
кляпча	trap
клятва	oath
книга	book
кнопка	button
княжество	grandduchy
князь	prince
коа	kennel
кобура	holster
ковта	blouse
ковтыс	valley
ковёр	carpet
ковёр	rug
код	drunkard
коддьӧм	like
кодзув	star
кодзувкот	ant
кодзувкоткар	anthill
кодзувтуй	astronomy
кожа	leather
кожовник	currier
коз	spruce
козин	gift
козин	present
козин	present
козин	gift
койка	bed
койташ	party
кок	leg
кок	foot
кокад	gore
кокан	hoe
кокач	pox
коклутш	ankle
коклябӧр	heel
кокньӧд	alleviation
кокньӧд	mitigation
коко	chicken
коко	hen
коко	egg
кокс	coke
кокчӧр	shin
кокыль	contortion
кокыль	bend
кола	forge
коланлун	necessity
коли	if
колипкай	nightingale
колипкай	skylark
колледж	college
коллектив	collective
коллектив	body
коллектив	group
коллективизация	collectivization
колодеч	stovepipe
колодеч	flue
колодильник	refrigerator
колонист	colonist
коль	cone
кольк	egg
кольта	sheaf
кольча	ring
коляс	remanent
коляс	remains
коляска	perambulator
ком	grayling
команда	team
командир	commander
командующӧй	commander
комбайн	combine
комбайн	harvester
комбыля	bent
комбыля	curved
комендант	commandant
комиссар	commissar
комиссар	commissioner
комиссия	committee
комиссия	commission
комитет	committee
коммерсант	merchant
коммерсант	businessman
коммуна	commune
коммунизма	communism
комната	room
компания	company
компания	firm
компенсация	compensation
композитор	composer
компьютер	computer
комсомол	komsomol
комыль	peel
комыль	husk
комӧль	lump
кон	jackpot
конвейер	conveyer
конверт	envelope
конвоир	escort
конгресс	congress
кондитер	confectioner
конкурент	competitor
конкурс	contest
конкурс	competition
конкурсант	contestant
коноюх	stableboy
коноюх	groom
консерв	preserve
консерватория	conservatory
консонант	consonant
консорциум	consortium
конспект	synopsis
конспект	outline
конспект	abstract
конституция	constitution
конструкция	construction
консульство	consulate
консультация	consultation
контора	office
контроль	control
контроль	check
контролёр	inspector
конференция	conference
конфискация	confiscation
концепция	conception
концерт	concert
коньки	skates
коньӧр	miserable
копей	coffee
копия	copy
копыр	bow
кор	chorus
кор	choir
кор	leaf
кореограф	choreographer
коридор	corridor
коридор	hall
короб	dust
короб	flakes
королева	queen
королевство	kingdom
король	king
коромина	mansion
корпорация	corporation
корреспондент	correspondent
коррупция	corruption
корысь	beggar
корысь	pauper
корӧм	invitation
корӧм	request
корӧм	invited
кос	waist
кос	loins
коса	sythe
кослун	fast
космонавт	astronaut
космонавт	kosmonaut
кост	interval
кост	entr'acte
кост	break
косысь	gadwall
кось	battle
кось	combat
кось	fight
коськӧм	fallow
косьмӧм	drying
косӧдчан	rag
косӧдчан	towel
коткодзув	ant
котш	clatter
котш	knock
котыр	band
котыр	group
котыр	community
котыр	family
котыр	society
котыртӧм	organising
кочегар	stoker
кочӧг	colic
коэффициент	coefficient
коэффициент	ratio
край	edge
край	end
край	crust
кран	tap
кран	faucet
крап	bang!
краска	paint
крахмал	starch
кредит	credit
креж	rock
крейсер	cruiser
крем	cream
крепӧсьт	fortress
креслӧ	chair
крест	cross
крестьяна	farmers
крестьяна	peasantry
крестьянин	peasant
кресті	clubs
крещенньӧ	baptized
кризис	crisis
криминал	crime
кристиана	Christendom
критик	critic
критика	criticism
крокодил	crockidile
кролик	rabbit
круг	circle
кружева	lace
кружка	mug
кружок	circle
крук	hook
крук	crook
круксӧм	caw
круксӧм	cawing
крукыль	bend
крукыль	curve
крупчатка	grainy
крут	steep
крут	stern
крыса	rat
крӧвать	bed
ку	fur
ку	pelt
куб	cube
куб	boiler
кубок	cup
кув	hum
кув	rumble
кув	drone
кувзь	penis
кувтӧдантор	poison
кувтӧдантор	toxin
куд	chest
кудель	flax
кудель	oakum
кудз	urine
кудри	curls
куж	tow
кужанлун	skill
кужӧмлун	skill
куз	horsetail
кузнеч	blacksmith
кузов	basket
кузьта	length
кузяла	length
куйлӧд	deposit
куйӧд	manure
кук	calf
кукань	calf
кулак	kulak
кулига	lawn
кулим	spawning
куль	sack
культура	culture
кулӧм	death
кулӧм	dead
кулӧм	trammel
кум	storehouse
кунас	fire
кунас	campfire
кунва	lye
купайка	jersey
купеч	merchant
куран	rake
куреньга	carcass
куржӧвина	frost
куритчан	cigarettes
курмыш	tub
курорт	spa
курорт	resort
курс	class
курс	course
куртан	raking
куръя	gulf
куръя	bay
куръя	inlet
курьӧр	courier
курьӧр	messanger
курӧг	chicken
курӧк	cock
курӧк	trigger
куссю	thoroughly
куссю	utterly
куст	shrub
куст	bush
кустарникз	shrubs
кустарникз	bushes
кустарь	handycraftsman
кусынь	bend
кусынь	crook
кусынь	fold
кусӧдчысь	fireman
кути	puppy
куття	Yuletide
кутш	eagle
кутю	puppy
кутю	doggy
кутян	puppy
кутӧд	composure
кухня	kitchen
кучер	coachman
кучик	skin
кучик	hide
кучик	leather
куша	frog
кушак	sash
кушман	radish
кушник	inn
кыа	dawn
кыа	dusk
кыан	weaving
кыан	knitting
кыан	cloth
кыбан	gaff
кыв	tongue
кыв	word
кыв	language
кыв	tongue
кывберд	adjective
кывбур	poem
кывбуралысь	poet
кывбӧр	postposition
кыввор	vocabulary
кывдін	st
кывйыв	ending
кывйыв	suffix
кывйӧз	saying
кывкуд	dictionary
кывкӧртӧг	conclusion
кывкӧртӧг	decision
кывкӧртӧд	conclusion
кывкӧртӧд	decision
кывпель	syllable
кывсьысь	renouned
кывтор	particle
кывтэчас	phrase
кывчукӧр	dictionary
кывчукӧр	glossary
кывшӧр	particle
кыд	husk
кыд	membrane
кыд	chaff
кыд	bran
кыдз	birch
кыдзкай	Redboll
кыдӧс	traps
кызвын	majority
кызйи	glacier
кызпыд	asthma
кызта	thickness
кыйдӧс	catch
кыйӧм	fishing
кыйӧм	hunting
кыкчута	colon
кымӧр	cloud
кымӧс	forehead
кынмӧм	freezing
кынтӧм	freeze
кынӧм	stomach
кып	anthem
кыпыдлун	celebrations
кырныш	raven
кырым	hand
кырым	signature
кырымпас	signature
кыснан	jig
кытш	circle
кытш	loop
кычан	puppy
кычипи	puppy
кӧбыла	mare
кӧв	string
