abstrákta	abstrakti
bargobáiki	työpaikka
bargodepartemeanta	työministeriö
bargodilli	työolosuhde
bargoeallin	työelämä
bargoheaitta	lakko
bargojoavku	työryhmä
bargolávdegoddi	työlautakunta
bargoplána	työsuunnitelma
bargosadji	työpaikka
bargoskihpár	kollega
bargosuorgi	työllistämiskerroin
bargoveahka	työvoima
bargovuohki	työtapa
bargu	työ
barju	tunturilainen
barohkka	barokki
barta	mökki
basadangárri	lavuaari
basadanlatnja	kylpyhuone
basahat	pesula
basaldat	pesurätti
basilla	basilli
bassaladdanmášiidna	pesukone
bassangárri	lavuaari
bassanálddis	lavuaari
bassančáhci	pesuvesi
bassenmuorra	paistinvarras
bassi	pyhä
bassinmuorra	makkaratikku
bassivuohta	pyhyys
baste	lusikka
bastilislátnjá	orjantappura
bataljovdna	pataljoona
bavssa	huuli
bađuš	pyrstö
bađvi	palko
baška	paska
beaggin	maine
beahcebáhcat	männynkäpy
beahci	mänty
beahttu	petos
beahtu	peto
beahtus	petos
beaika	pyökki
beaisku	tuholainen
beaivegirji	päiväkirja
beaiveloddi	perhonen
beaiveruoktu	päiväkoti
beaivi	päivä
beaivi	aurinko
beaivvádat	auringonpaiste
beaivváš	aurinko
beaivvášláibbáš	aurinkopulla
beakkohus	huhu
beaktu	teho
bealaš	väliraha
bealbi	vesitatar
bealdu	pelto
bealgi	peukalo
bealgi	isovarvas
bealjehisvuohta	kuurous
bealjehisvuohta	huonokuuloisuus
bealle	puoli
beallelaš	puoliso
beallemas	pellava
beallemuddu	puoliväli
bealli	puoli
bealli	puolikas
bealljerokkan	vaaksiainen
beallji	korva
bealládat	puolue
bealušteaddji	puolustaja
bealátkeahtesvuohta	puolueettomuus
bealátvuohta	puolueellisuus
beana	koira
beanaráidu	koiravaljakko
beanna	kynä
beantá	tukikeppi
beara	päre
bearal	helmi
bearatgoddi	perhekunta
bearaš	perhe
bearašdepartemeanta	perheministeriö
beargalat	perkele
bearjadat	perjantai
bearragoddi	perhekunta
beaska	peski
beassan	pääsy
beassanláhki	pääsy
beassanvuohta	pääsy
beassegatna	koivunkylkijäkälä
beassi	pesä
beassi	tuohi
beassášbeaivi	pääsiäispäivä
beassášluopmu	pääsiäisloma
beassášlávvardat	pääsiäisilta
beassášlávvardat	pääsiäisaatto
beassášlávvordat	pääsiäisilta
beassášlávvordat	pääsiäisaatto
beassášmárkan	pääsiäismarkkina
beassášmátki	pääsiäisretki
beassášruohtta	pääsiäisilta
beassášruohtta	pääsiäisaatto
beassážat	pääsiäinen
beatnagaš	koiranen
beatnatdaŋas	ruohokanukka
beatnatgieldá	katinlieko
beatnatgullan	peninkulma
beatnatrávra	järviruoko
beatnatrávra	pallerokoiranheinä
beavddáš	pöytänen
beavdebiigá	tarjoilija
beavdegirji	pöytäkirja
beavdeliidni	pöytäliina
beavdeliidni	liina
beavdi	pöytä
beavža	itätuuli
beađbi	lapaluu
beaŋka	penkki
beaŋka	tuoli
behkeš	kehräsluu
bejot	valkko
belko	hakkuupölkky
bellodat	puolue
bellodatustit	puoluetoveri
beloštus	puolustus
belá	serkku
benne	penni
bensiidna	bensa
bensiidna	bensiini
beroštupmi	kiinnostus
beroštus	huoli
beroštus	kiinnostus
bessodat	vitsas
bessodat	mäystin
beste	pesti
betoŋga	betoni
beđoohtte	tasakertahirsi
beškkoš	pääskynen
beštor	västäräkki
bibliografiija	bibliografia
bibliotehka	kirjasto
bidjet	huutokauppa
biebmanluokti	ruokintakatos
biebmodepartemeanta	ruokaministeriö
biebmoealli	lemmikkieläin
biebmoealli	lemmikki
biebmolistu	ruokalista
biebmu	ruoka
biedju	pesä
biegga	tuuli
biehkan	piekana
biehtarasdilljá	atlasnikama
biehttalus	kieltäymys
biehttalus	pidättäytyminen
biehtárguhkká	siankärsämö
biehtárrássi	siankärsämö
bieksu	pieksu
biellohas	kellokas
biellorássi	kissankello
biellu	kello
biellán	kellokas
biepmohas	kasvatti
bierdna	karhu
bierdni	karhunpoika
bierggas	esine
biergogievdni	lihapata
biergoláibi	lihavoileipä
biergomális	lihakeitto
biergomálli	lihakeitto
biergoskadjá	lihavaja
biergoskadjá	lihatalas
biergu	liha
biestta	pensas
bievla	pälvi
biffa	pihvi
biggoheapmi	ilmanvaihto
bigán	äkkipikainen
bihcebáhce	käpy
bihkaš	tervas
bihkka	terva
bihpar	pippuri
bihppor	pippuri
bihpporbiffa	pippuripihvi
bihpporgáhkku	piparkakku
bihpporgáhkku	piparit
bihttá	pala
bihttá	palanen
bihttá	pykälä
bihtánsámegiella	piitimensaame
biibal	raamattu
biibbal	raamattu
biigá	piika
biika	piikki
biila	auto
biiladivohat	autokorjaamo
biiladivohat	korjaamo
biilagávpi	autokauppa
biilaskuvla	ajokoulu
biilavuoddji	autonajaja
biilačoavdda	autonavain
biilačoavdda	autonavaimet
biire	piiri
biire	paliskunta
bileahtta	lippu
bilka	pilkki
bilkideaddji	pilkkaaja
bilku	pilkka
billašupmi	turmelus
billár	tuholainen
bindda	heittiö
bindda	pinne
binná	vähän
biologa	biologi
biotohpa	biotooppi
bipmi	piimä
biras	ympäristö
birasgáhtten	ympäristösuojelu
birasgáhttenministtar	ympäristöministeri
birasoahppu	ympäristöoppi
birasviessu	ympäristötalo
bircu	kuutio
birgemuš	toimeentulo
birgenláhki	toimeentulo
biro	piru
birrabeaivi	vuorokausi
birrabotnjalus	kääntymys
birradat	piiri
birračuohpahus	ympärileikkaus
bisma	piispa
bismmáčoahkkin	piispantarkastus
bismárra	puntari
bispa	piispa
bissu	pyssy
bistu	kesto
bivastat	hiki
bivdda	pyyntö
bivddus	pyydys
bivdi	kalastaja
bivdi	metsästäjä
bivdi	pyytäjä
bivdinmuddu	pyyntietäisyys
bivdinvuohki	pyyntitapa
bivdoguovlu	pyyntialue
bivdojoavku	metsästysseura
bivdu	pyynti
bivgi	ohra
bivttas	vaate
bivttasgávpi	vaatekauppa
biđggiideapmi	hajonta
biđus	lihakeitto
bižus	kapustarinta
bleahkka	muste
bleahkka	pelti
bliánta	lyijykynä
bliánta	lyijäri
bláđđi	lehti
bláđđi	viikkolehti
boadnji	aviomies
boagán	vyö
boahtal	pullo
boahtimuš	tuleminen
boahtimuš	saapuminen
boahttevuohta	tulevaisuus
boahtteáigi	tulevaisuus
boaimmáš	piekana
boaisán	ryökäle
boaittobealli	syrjäseutu
boaldenmuorra	polttopuu
boaldámuš	polttoaine
boalga	häpeäpilkku
boallooaivi	kullero
boallorássi	kullero
boallu	nappi
boalvár	kauppias
boanda	maanviljelijä
boaran	vanhus
boardda	portaat
boaresbárdni	poikamies
boaresnieida	vanhapiika
boaresnieida	sinkku
boarisvuohta	vanhuus
boarstu	eteinen
boaru	paarma
boassa	hiirenpesä
boasta	posti
boastabiila	postiauto
boastamearka	postimerkki
boasttuvuohta	vääryys
boatkkahas	hyönteinen
boatkun	katkominen
boazoalmmái	poromies
boazobeana	porokoira
boazodilli	porotilanne
boazodoalli	poronhoito
boazodoalloguovlu	paliskunta
boazodoalloguovlu	poronhoitoalue
boazodoallohoavda	poronhoitopäällikkö
boazodoallohálddahus	poronhoitohallinto
boazodoalloláhka	poronhoitolaki
boazodoallopolitihkka	poronhoitopolitiikka
boazodoalloskuvla	poronhoitokoulu
boazodoallostivra	poronhoitojohtokunta
boazodoallošiehtadus	poronhoitosopimus
boazodoallu	poronhoito
boazoeaiggát	poronomistaja
boazoealáhus	poroelinkeino
boazoguohtunlávdegoddi	porolaidunlautakunta
boazoisit	poronomistaja
boazolohku	poroluku
boazolohku	poromäärä
boazoolmmoš	poronhoitaja
boazorikkis	pororikas
boazosápmelaš	porosaamelainen
boazosápmi	porosaamelainen
boazu	poro
boađus	tulos
boađđu	kari
boaššu	posio
boddu	tauko
boddu	vapaatunti
bodni	pohja
bodni	alakerta
bogostat	naurunaihe
bohccejeagil	torvijäkälä
bohccobiergu	poronliha
bohccosuoidni	järvikorte
bohccočoarvi	poronsarvi
bohccádat	putkilo
bohkká	pukki
bohrra	pölinä
bohtal	pullo
boija	poiju
boikohtta	boikotti
boimmohat	nokkimispaikka
boimmon	nokkija
boimmon	näpistelijä
bojá	miekkonen
boksa	säilykepurkki
boksen	nyrkkeily
boldejaš	polttiainen
boles	poliisi
bolot	nappula
bolsttar	patja
bolsttar	tyyny
bomba	pommi
bonjahat	väänne
bonjahat	äkkikäännös
bonus	punos
boradanboddu	ruokatauko
boradanlatnja	ruokahuone
boras	syöpä
borasdávda	syöpä
boraspire	peto
boraspire	petoeläin
boraspirelávdegoddi	petoeläinlautakunta
borešvuohta	mässäily
borga	lumipyry
borgemánnu	elokuu
borgár	kansalainen
borgár	porvari
borgárvuohta	kansalaisuus
borjadat	purjetuuli
borjat	purjetuuli
borjjas	purje
borramuš	ruoka
borramušgávpi	vaatekauppa
borran	ruokailu
borran	syönti
borran	syöminen
borranbeavdi	ruokapöytä
borranboddu	ruokatauko
borranlustu	ruokahalu
borranmiella	ruokahalu
borus	syötävä
boršu	kuohu
bosan	tuuletin
boska	väinönputki
bossu	hetulavalas
botehtos	peruna
botkkon	katkaisin
botkkus	karike
botnjalus	kääntymys
botnus	sakka
bovdehus	kutsu
bovdejupmi	kutsumus
bovden	kutsu
bovdna	mätäs
bovdna	pounu
bovttáš	lunni
boŋkor	pöykkyri
breahtta	tarjotin
breava	kirje
brigáda	prikaati
bronsa	pronssi
brugga	laiturivarasto
brutto	brutto
bruvda	hääkruunu
bruvsa	limsa
bruvsa	limonaati
bráhkka	parakki
buddu	riippa
budjeahtta	budjetti
buffalo	puhveli
buhkka	kakka
buhtadas	korvaus
buhtadus	korvaus
buhtisnieida	neitsyt
buhtisteapmi	puhdistus
buhtástus	puhdistus
buidodat	lihavuus
buksa	housu
buksa	housut
buksalumma	housuntasku
buktu	tuonti
buldu	kirveskalsu
buldugas	korppi
bulet	puolikko
bulgárialaš	bulgarialainen
bulki	pulkka
bulle	sonninmulli
bulljarakkis	kupla
bulljaras	kupla
bullá	pulla
bulži	jääkuori
bumbá	kirstu
bumeránskka	omituisuus
bumma	puomi
bumpaloddi	suopöllö
buncarakkis	ongelma
bunnu	häpykieli
buohccedivššár	sairaanhoitaja
buohcceviessu	sairaala
buohcci	potilas
buohccidikšu	sairaanhoitaja
buohccivuohta	sairaalloisuus
buohccát	sairastaa
buohcu	sairaus
buohcuvuohta	tauti
buohcuvuohta	sairaus
buoidda	kärppä
buoiddat	paksukainen
buoidegaccet	talitintti
buoidi	läski
buoidi	lihava
buoidivuohta	lihavuus
buolaš	kylmyys
buolaš	pakkanen
buolbmágaš	pulmankilainen
buollahat	sytyke
buollin	palo
buolva	polvi
buolva	sukupolvi
buolvadat	sukupolvi
buolát	puola
buolža	poikittaisharju
buonjus	kastike
buorggár	upporikas
buorrevuohta	hyvyys
buorri	hyve
buorráneaddji	toipilas
buorádus	parannus
buoska	pieru
buoska	penska
buoskár	puoskari
buotnjomuš	kastike
buovjja	maitovalas
buovnnjat	myyrä
buozaheaddji	sairaanhoitaja
buozalmasvuohta	tauti
buozan	sairastelija
buođga	nivus
buođus	patoutuma
buresboahtin	tervetuloa
burrodat	hyvyys
burru	sonni
burru	härkä
burrut	sonni
bursa	lompakko
busegáhttu	kissa
busir	pusero
bussa	bussi
busse	bussi
busse	pussi
bussá	kissa
bussá	kisu
bussáealli	kissaeläin
bustávva	kirjain
butká	putka
buvda	kauppa
buvri	aitta
buvri	kömmänä
buvru	puuro
buvssat	housut
buvtta	tuote
buvttadeapmi	tuotanto
buvvedat	tylli
buđaldeaddji	harrastelija
buđet	peruna
buđis	pudas
buđđá	kivespussi
bušeahtta	budjetti
bušeahttarámma	budjettiraami
báberseahkka	paperipussi
bábir	paperi
báddi	naru
báddi	nauha
bádji	paja
bággu	pakko
báhcat	käpy
báhkin	pakana
báhkka	helle
báhkka	kuuma
báhkka	paketti
báhkki	pahka
báhkkon	käsky
báhpagárdin	pappila
báhpaskuvla	rippikoulu
báhppa	pappi
báhtareaddji	pakolainen
báhti	pata
báhtte	patti
báhčinšillju	ampumarata
báhčči	ampuja
báidi	paita
báidnejaš	painajainen
báikegoddi	kylä
báikegoddi	paikkakunta
báikenamma	paikannimi
báikenammaláhka	paikannimilaki
báiki	paikka
báimman	paimen
báinna	värjäysaine
báiski	kalalokki
báiste	paistinpannu
báktedáidda	kivitaide
bákti	kallio
bákŋi	sarventyvi
bálda	vieri
bálddis	pallas
bálggis	polku
bálggosortnet	paliskuntajärjestelmä
bálggus	paliskunta
bálkkašupmi	palkinto
bálká	palkka
bállahastin	heitto
bállahastin	nakkaaminen
bálstá	palsta
bálvalanámmát	palveluammatti
bálvaleaddji	palvelija
bálvaleaddji	palvoja
bálvaleapmi	palvelu
bálvaleapmi	palvonta
bálvalus	palvelu
bálvalusfálaldat	palvelutarjonta
bálvá	palvelija
bámbu	bambu
bánno	pannu
bára	baari
bárbmoloddi	muuttolintu
bárbmu	etelä
bárbmu	parvi
bárdebeaivi	pärttyli
bárdni	poika
bárdnivuohta	poikuus
bárdnivuohta	poikamiesaika
bárel	parila
báron	paroni
bárra	pari
bárra	pariskunta
bárru	aalto
bártnehuoš	poikarukka
bártnáš	poikanen
bárá	para
básmá	pasma
báson	pasuuna
bássa	basso
básta	niini
básár	myyjäiset
bátnedoavttir	hammaslääkäri
bátnesoallun	hammastikku
bátni	hammas
báttas	patoutuma
bávgoš	tylli
bávkkas	pauke
bávččas	kipu
bávččas	kipeä
báŋka	penger
báŋku	pankki
bážáhat	asetuspyssy
bážáhat	ansa
cagan	meriharakka
caggaseapmi	esto
cahkkehus	sytytys
ceagga	itsepäisyys
ceahkki	askel
ceahkkálas	asteikko
cealkka	lause
cealkámuš	lausunto
ciebat	metsäpäästäinen
cielus	haukkumasana
cihca	polttiainen
ciiku	naaraskoira
ciiku	narttu
cirggon	suihkutin
cizopaš	lapinsirkku
cizáš	pikkulintu
coahki	matala
coakci	liukueste
cohcci	houkka
cohkolat	matalikko
cokkaldat	pohjallinen
cubborássi	korte
culpi	hiustupsu
cummá	suukko
cumpi	hiustupsu
cuohppa	kalanliha
cuoppu	sammakko
cuovka	murtoluku
cuoŋománnu	huhtikuu
cuoŋosmánnu	huhtikuu
cuoŋu	hanki
curbmi	suppusuu
curre	kaksonen
cuskkas	tuhina
cára	tsaari
dahkki	tekijä
dahku	teko
dahpahat	ummetus
dahpaldat	tuke
dahppagas	sulkeuma
dajahus	sanonta
dajahus	ilmaisu
dajaldat	sanonta
dajus	lauseke
dallearka	lautanen
darfegoahti	kota
darjjesámegiella	turjansaame
datni	tina
davvi	pohjoinen
davvi	länsi
davviriika	pohjoismaa
davvisámegiella	pohjoissaame
davvisápmi	pohjoissaamelainen
daŋas	varpu
deaddu	paino
deaddu	paine
deaddu	painotus
deadja	tee
deadjabaste	teelusikka
deadjagohppu	teekuppi
deahkki	lihas
deaivvadanbáiki	kohtaamispaikka
deaivvadansadji	tapaamispaikka
deaivvadeapmi	tapaaminen
deajat	tee
dealgi	härkylä
dealljá	grönlanninhylje
deapma	töminä
deappu	levä
dearbastihkka	heiluri
dearbmi	törmä
dearga	törky
dearvvasvuohta	terveys
dearvvašvuohta	terveys
dearvvašvuođabargi	terveydenhuollontyöntekijä
dearvvašvuođabálvalus	terveyspalvelu
dearvvašvuođaguovddáš	terveyskeskus
dearvvuohta	terveys
deatnulaš	tenolainen
deattáldat	jälkiruoka
deattán	painajainen
deavdda	täyte
deavut	halli
deaškkas	lätke
definišuvdna	määritelmä
deklamašuvdna	lausunta
delegašuvdna	valtuuskunta
deminutiiva	deminutiivi
demokratiija	demokratia
departemeanta	ministeriö
departementa	ministeriö
deret	keuhkotauti
derpmoš	törmäpääsky
devdojupmi	täyttymys
diagovva	diakuva
diagrámma	diagrammi
dialeakta	murre
dialoga	vuoropuhelu
dialoga	dialogi
diamehtar	halkaisija
diamánta	timantti
didaktihkka	didaktiikka
diddi	tintti
diddi	titti
didnu	piikivi
diehppi	tupsu
diehppi	liehuke
diehtemeahttunvuohta	tietämättömyys
diehtojuohkin	tiedotus
diehtovuođđu	tietokanta
diehtti	tietäjä
diehtu	tieto
dieigi	harmaakaihi
dieigu	värttinäluu
dienas	ansio
dievasčoahkkin	täysistunto
dievdogahpir	miestenhattu
dievdogákti	miehenkauhti
dievdogákti	miehenkasukka
dievdoolmmoš	mies
dievdu	mies
dieđa	tiede
dieđáhus	tiedote
diftoŋga	diftongi
digaštallan	väittely
digaštallan	keskustelu
diggegoddi	käräjäoikeus
diggi	käräjät
dihkki	täi
dihkku	tikku
dihkku	tulitikku
dihkká	tikka
dihtor	tietokone
dihtorfitnodat	tietokoneyritys
dihtorfitnodat	tietokonefirma
dihtorspeallu	tietokonepeli
dihtorspeallu	tietsikkapeli
diibmobealle	puolitunti
diibmobealli	puolitunti
diibmoplána	aikataulu
diibmoplána	lukujärjestys
diibmu	tunti
diibmu	kello
dikta	runo
diktagirji	runokirja
diktáhtor	diktaattori
diktár	runoilija
dikšu	hoitaja
dikšu	hoito
dikšun	hoito
dikšun	huolto
dildu	hyytelö
dilla	tilli
dilli	olotila
dilli	tila
dilot	sytykehalko
dilálašvuohta	tilaus
dimbbar	tukki
dimenšuvdna	ulottuvuus
dimádas	pehmike
dines	tienesti
dioksiida	dioksidi
direktevra	johtaja
diret	tiirikka
dirči	nakupelle
disdat	tiistai
diskotehka	diskoteekki
diva	korjaustarvike
diva	juoksute
divat	maksu
divat	kymmenys
divišuvdna	liiga
divodus	korjaus
divohat	korjaamo
divri	hyönteinen
divrrasvuohta	kalleus
diđošteaddji	tutkija
diŋga	esine
diŋgojeaddji	tilaaja
diškkanas	roiskahdus
diškkas	roiske
doaba	käsite
doahttu	tutti
doaibma	toimi
doaibmabidju	toimenpide
doaibmadoarjja	toimeentulotuki
doaibmagollu	toimikulu
doaibmaplána	toimintasuunnitelma
doaibmavuohki	toimitapa
doaimmahat	toimisto
doaimmaheaddji	toimittaja
doaimmahus	toimitus
doaivu	usko
doaivu	toivo
doaivva	toivo
doaivvuhisvuohta	toivottomuus
doalli	pitävä
doalli	tenivä
doalloovttadat	toimintayksikkö
doallu	toimintayksikkö
doalut	pidot
doalvu	viejä
doantá	pahus
doardna	torni
doarggástus	järistys
doarggástus	tärinä
doarjalus	tuki
doarjja	tuki
doarjjaortnet	tukijärjestelmä
doarjjaruhta	tukiraha
doavhli	vesirakkula
doavkivuohta	tyhmyys
doavkkan	houkka
doavttergráda	tohtorintutkinto
doavttir	lääkäri
doavttirskuvla	tohtorikoulu
doggi	juoksutusmaha
dohkká	nukke
dohppa	tuppi
dokumeanta	dokumentti
dokumeanta	asiakirja
doleš	meteori
dolgevuogga	perho
dolgi	sulka
dolla	tuli
dollagáddi	tulisija
dollarieban	tulikettu
dopmu	pöly
dordnu	ovi
dorka	turkkipaita
dorski	turska
dorte	rukki
dorve	torvi
dorvu	turva
dovddastus	tunnustus
dovdi	asiantuntija
dovdomearka	tuntomerkki
dovdu	tunne
dovkodat	tyhmyys
dovtta	kuikka
doŋgeribuvssat	farkut
dronnet	kuningatar
drošše	taksi
dubmehus	tuomitseminen
dubmehus	kirous
dudnar	tynnyri
duggu	mälli
duhkaraddi	leikkijä
duhkká	nukke
duhkoraddanskibir	leikkikaveri
duhkoraddi	leikkijä
duhkoras	lelu
duhkoras	leikkikalu
duhkordalˈli	leikkijä
duhpát	tupakka
duhranas	porahdus
duhtavašvuohta	tyytyväisyys
duhtodat	totuus
duiskalaš	saksalainen
dukta	lannoite
dulbodat	tasaisuus
dulka	tulkki
dulkon	tulkinta
dulkon	tulkkaus
dulkonbálvalus	tulkkipalvelu
dullejaš	tuliainen
dulpu	tylppä
dulvi	tulva
dumá	tuuma
duodjegirji	käsityökirja
duodjegávpi	käsityöliike
duodjelatnja	käsityöhuone
duodječájáhus	käsityönäyttely
duodječájáhus	taidenäyttely
duodji	käsityö
duoggi	takku
duogur	leikki
duogáš	tausta
duohpi	huopa
duohpi	vanutus
duohtavuohta	totuus
duohčču	säästö
duojáldat	teelmä
duojár	käsityöläinen
duollji	talja
duollu	tulli
duolmmastat	polkaisu
duolmmastat	poljin
duoltu	tusina
duolvvár	sottapytty
duopma	pohjantuomi
duopmostuollu	tuomioistuin
duopmu	tuomio
duopmár	tuomari
duoraldat	niittaus
duoraldat	poimutus
duorastat	torstai
duorgu	siima
duotka	ruokasula
duottar	tunturi
duottarstohpu	tunturimökki
duottarčielgi	tunturinselkä
duovdda	alue
duođašteaddji	todistaja
duođaštus	todistus
duppalgáibi	kaksoisleuka
durbbon	tarvoin
durji	sottapytty
durján	sottapytty
dusen	tusina
duset	tusina
dutkamuš	tutkiminen
dutkan	tutkiminen
dutkan	tutkimus
dutkan	tutkinto
dutkanbiras	tutkimusalue
dutkandepartemeanta	tutkimusministeriö
dutkandepartementa	tutkimusministeriö
dutkanprográmma	tutkimusohjelma
dutkanprošeakta	tutkimusprojekti
dutkanráđđi	tutkimusneuvosto
dutki	tutkija
dutkán	ripsu
duvdda	tuki
duvdda	rajoitin
duvhllár	tuhlari
duvka	pöytäliina
duvssár	haalija
duđan	kuhnailija
duđan	hössöttäjä
duŋgá	tunkio
dušši	turhuus
dušši	tyhjänpäiväisyys
dáddju	hullu
dádel	taateli
dággi	tahma
dáhkki	katto
dáhkki	takka
dáhkádus	vakuutus
dáhpi	tapa
dáhpáhus	tapahtuma
dáhttu	tahto
dáidda	taide
dáiddaguovddáš	taidekeskus
dáiddamusea	taidemuseo
dáiddačájáhus	taidenäyttely
dáiddár	taitelija
dáidi	taitaja
dáidá	taitaa
dáigi	taikina
dákse	taksi
dáksevuoddji	taksikuski
dákta	tahti
dákti	luu
dálki	sää
dálki	ilma
dálkkas	lääke
dálkkádat	ilmasto
dálkkádatrievdan	ilmastomuutos
dálkunlášmmodahtti	lääkintävoimistelija
dálla	taaleri
dállearka	lautanen
dállu	talo
dálobuoigi	talonpoika
dálolaš	pienmaanviljelijä
dálolaš	talollinen
dálon	talollinen
dálssár	jaarittelija
dálueamit	emäntä
dálueamit	taloemäntä
dálvebivttas	talvivaatteet
dálveguohtumat	talvilaidun
dálveguohtun	talvilaidun
dálvesoahti	talvisota
dálvi	talvi
dáláš	nykyisyys
dámmá	tamma
dámpa	höyrylaiva
dánamánni	kunnianmies
dánsa	tanssi
dánsu	tanssija
dánsun	tanssiminen
dápmot	tammukka
dápmot	purotaimen
dápmu	kesytys
dáppeorru	täälläasuja
dárbbaš	tarve
dárbu	tarve
dárkka	tarke
dárkkistanlávdegoddi	tarkistuskomitea
dárogiella	norja
dárra	levä
dársi	pullukka
dáruiduhttin	norjalaistuminen
dáruiduhttinpolitihkka	norjalaistamispolitiikka
dásageardi	tasakerta
dássi	taso
dássu	laatu
dávda	tauti
dávdi	perna
dávggasvuohta	joustavuus
dávggasvuohta	sitkaus
dávggut	rasitukset
dávllat	täpläkylki
dávttat	väinönputki
dávvir	tavara
dávvir	esine
dávvirvuorká	museo
dávástus	kaiku
dávástus	vastakaiku
dávástus	vastaus
dávástus	vastine
dáčča	norjalainen
dáđđi	tahma
dáški	sotku
dáža	norjalainen
eadnebealle	äitipuoli
eadni	äiti
eadnivuohta	äitiys
eadnivuohta	äidillisyys
eahket	ilta
eahketbeaivi	iltapäivä
eahketbodda	iltatuokio
eahketborramuš	iltaruoka
eahketborramuš	iltapala
eahki	setä
eahpeluohttámuš	epäluottamus
eahppel	omena
eahpádus	epäily
eaiggát	omistaja
eaktu	ehto
ealageardi	käytös
ealet	elukka
ealga	hirvi
ealgabeana	hirvikoira
ealgabivdi	hirvenpyynti
ealgabivdu	hirvenpyynti
ealli	eläin
eallin	elämä
eallindilli	elämäntilanne
eallinoaidnu	elämänkatsomus
eallinvuohki	elämäntapa
eallisilba	elohopea
eallu	poroelo
eallu	elo
eallámuš	elanto
ealáhat	eläke
ealáhat	laidun
ealáhus	elinkeino
ealáhus	elanto
ealáhusdoaibma	elinkeinoelämä
ealáhuspolitihkka	elinkeinopolitiikka
eamit	vaimo
eamit	emäntä
eamiálbmot	alkuperäiskansa
eamiálbmot	alkuperäisasukkaat
eamiálbmotjulggaštus	alkuperäiskansajulistus
eamiálbmotvuoigatvuohta	alkuperäiskansaoikeus
eammi	vaimo
eana	maa
eanadat	maasto
eanadoalli	maanviljelijä
eanadoallu	maanviljely
eanaeaiggát	maanomistaja
eanahálddašeapmi	maanhallinta
eanan	maa
eanandoallu	maatalous
eanandoallu	maanviljely
eananeaiggát	maanomistaja
eananmuorji	mansikka
eananoassi	maanosa
eanavuovdinkantuvra	maanmyyntitoimisto
eanavuovdinláhka	maanmyyntilaki
eanetlohku	enemmistö
eanu	eno
eapmi	emi
eappel	omena
eappir	ämpäri
eappir	pytty
earri	kiintiö
earráneapmi	eroaminen
earta	herne
earuhus	erotus
earuhus	erottaminen
earáhus	muutos
earán	asia
earán	tarve
easka	äsken
eassa	ässä
eastta	este
eatnandoallu	maatalous
eatnandoallu	maanviljely
eatnanmuorji	mansikka
eatnigiella	äidinkieli
eatnu	joki
eavru	hapro
eavttuhus	ehdotus
eaškáleapmi	nyrjähdys
eaškálupmi	nyrjähdys
ebel	omena
ehtemas	juolukka
eiseváldi	viranomaiset
eiseváldi	viranomainen
eissemearka	esimerkki
ekonomiija	talous
eksámen	tentti
elefánta	elefantti
elektrovdna	elektroni
elrávdnji	sähkö
energiija	energia
energiijadepartemeanta	energiaministeriö
erohus	ero
etihkka	etiikka
ettet	etikka
euro	euro
evre	äyri
evttohas	ehdokas
evttohus	ehdotus
eváhkko	evakko
eváŋgiljon	evankeliumi
eŋgel	enkeli
eŋgelasgiella	englanti
fabrihkka	tehdas
fabrihkkabargi	tehdastyöläinen
fabrihkkarátnu	tehdasmatto
faggi	koukku
falleheapmi	hyökkäys
fanas	vene
fanasgoahti	venevaja
fanccis	vene
faskkanas	raape
faskkohat	raape
fastodat	rumuus
feaddi	juurisäie
feaila	virhe
fearahas	veistolastu
fearga	lautta
fearga	väri
fearán	tapahtuma
feaskkir	eteinen
feasku	käsilaukku
feasta	juhla
feasta	bileet
feber	kuume
ferkkon	risukirves
fertenvuohta	täytymys
festivála	festivaali
festivála	festari
fidjol	viulu
fiehta	lapasotka
fielbmá	puro
fiellu	lauta
fierbmi	verkko
fierpmádat	verkosto
fiertu	pouta
fiervá	fieru
fiervábuvri	venevaja
fihkon	viikuna
fihkon	fiikus
fiidnu	halkopino
fiilu	viila
filbma	elokuva
filbma	filmi
filbmadahkki	filmintekijä
filbmafestivála	filmifestivaali
filbmaguovddáš	elokuvakeskus
filttar	kiväärinsuojus
finddar	kampela
finnmárkulaš	finnmarkilainen
finála	finaali
finánsaministtar	talousministeri
firet	nelikko
firkkal	esiliina
fiskescizáš	keltavästäräkki
fiskesdávda	keltatauti
fiskesrássi	idänniittyleinikki
fisku	kalastus
fitnet	saalis
fitnodat	yritys
fitnodat	firma
flágga	lippu
foanda	rahasto
forminddar	holhooja
forum	foorumi
friddjabeaivi	vapaapäivä
friddjaminuhtta	välitunti
friddjavuohta	vapaus
friijaminuhtta	välitunti
frimearka	postimerkki
fuolahusdepartemeanta	sosiaaliministeriö
fuolkevuođanamahus	sukunimitys
fuolkevuođatávval	sukupuu
fuolki	sukulainen
fuolla	huoli
fuomášupmi	huomautus
fuomášupmi	idea
fuorbma	muotti
fuorrávuohta	huoruus
fuotnu	raukka
fuotnu	pahus
fuođar	rehu
fylka	lääni
fylkamánni	maaherra
fylkkadiggi	maakuntakäräjät
fylkkagielda	lääni
fylkkamánni	maaherra
fylkkasuohkan	lääni
fylkkaviessu	läänintalo
fádda	raaka
fáddá	aihe
fága	oppiaine
fágabiras	ammattipiiri
fágalávdegoddi	ammattilautakunta
fágaolmmoš	ammattilainen
fággi	sylipaini
fáhcca	tumppu
fáhkan	miekkavalas
