абонементный	абонемента
неплотно	коста
неповоротливо	укшаля
непосредственно	веськыда
неприлично	
неприятно	дӧсаднӧ
неразлучно	янсӧдчывтӧг
неразумно	шогмытӧма
нерасчётливо	видзтытӧг
нередко	тшӧкыда
несдержанно	згӧвӧра
неспокойно	
неуверенно	дзибрӧса
неуверенно	тӧдтӧмпырысь
неудобно	
неудовлетворительно	лёка
неустойчиво	дзибрӧса
неуютно	гажтӧм
нехорошо	
нечестно	
неярко	пемыда
низко	ляпкыда
низко	уліті
низко	
низко	улын
нудно	
ныне	ӧні
ныне	талун
нынче	талун
нынче	ӧні
обидно	
обок	орччӧн
обратно	бӧр
обратно	мӧдарӧ
одухотворённо	кыпыда
оземь	муӧ
опасно	
опасно	ӧпаснӧ
оптимистично	кыпыда
оптом	чукӧрӧн
оранжево	вижовгӧрда
ориентировочно	ылӧсас
основательно	пыдісянь
основательно	поводнӧя
особенно	торъя
особо	торъя
особо	торйӧн
остроумно	востера
отвесно	чуркӧса
ответственно	кывкутӧмӧн
отныне	ӧнісянь
отрадно	нимкодь
отрадно	
отрадно	нимкодь
официально	официальнӧя
ощутительно	тӧдчымӧн(ъя)
панибратски	вежавидзтӧг
печально	
пешком	подӧн
письменно	гижӧмӧн
питательно	пӧтӧса
плавно	нюдза
плашмя	пласьт
плоско	плавкӧса
плотно	топыда
плохо	
побоку	веськодь
повелительно	тшӧктана
поголовно	ӧтитӧг
подряд	пӧдрад
подчистую	кушӧдз
подчёркнуто	тӧдчӧдана
подённо	лунысйӧн
позавчера	войдӧрлун
позади	сайын
позволительно	позяна
поздно	сёрӧн
поздно	
поздно	сёр
поимённо	нимӧн
пока	на
пока	аддзысьлытӧдз
поначалу	первойсӧ
понимающе	гӧгӧрвоана
пополам	шӧриӧн
пополам	шӧриа
пораньше	водзджык
порывисто	джӧма
послезавтра	аскомысь
послушно	кывзысьӧмӧн
посуху	косінті
потешно	тешкодя
пошло	мисьтӧма
поштучно	лыдӧн
правдиво	веськыда
правильно	
превосходно	
предвзято	подувтӧг
предосудительно	дивитана
предположительно	ылӧсас
прекрасно	
приблизительно	ылӧсас
привычно	тӧданавылысь
прилежно	зіля
прискорбно	
пристыженно	яналӧмпырысь
приятно	
продолговато	кузьмӧса
продолжительно	кузя
проницательно	тӧдмалана
просто	
просто	
просторно	
прочь	бокӧ
прямиком	весьтас
путано	дзугсьӧмӧн
пуще	ёнджыка
пыльно	буса
равно	
равно	лоӧ
равнодушно	веськодя
радостно	
разбросанно	дзуга
развалисто	катласьӧмӧн
разгонисто	паськыда
рано	водз
рано	кості
раскатисто	гылыда
расплывчато	рудӧбӧн
рассеянно	веськодя
резко	ясыда
ремесленно	кикурӧда
ровно	
рядком	орччӧн
рядом	орччӧн
самонадеянно	ыкпаша
самоходом	подӧн
светло	
светло	югыд
светло	
свободно	асшодйӧн
свободно	повтӧг
свободно	
свободно	прӧст
свой	ас
свой	
свысока	вылісянь
свыше	енсянь
сегодня	талун
сегодня	талун
сейчас	ӧні
семью	сизимысь
сердито	ярскӧба
серо	гажтӧма
серо	
серо	рӧмыд
серьёзно	збыльысь
силком	мырдӧн
скверно	
сквозь	предлогвин.п.что
скользко	
скоро	регыд
скучно	гажтӧм
скучно	
скучно	гажтӧм
слабо	личыда
слабо	небыда
сладко	чӧскыда
сладко	
сладко	юмов
случайно	
слёзно	бӧрдӧмӧн
смело	повтӧг
смертельно	кувмӧн
смешно	тешкодь
смешно	
смиренно	рама
смутно	омӧля
смутно	
смутно	
смутно	шуштӧм
снаружи	ортсысянь
сначала	войдӧр
снизу	кывтыдсянь
соблазнительно	ыштӧдана
совершенно	ньӧти
сокращённо	дженьдӧдӧмӧн
сочно	улиса
спереди	водзын
сплеча	кимльӧскивыв
сплошь	пасьтала
сплошь	дорвыв
сразу	ӧтпырйӧ
сродни	
сродни	рӧдня
сряду	дорвыв
степенно	вежавидзӧмӧн
стоймя	сувтсӧн
стоя	сувтсӧн
странно	
страсть	вирби
строго	чорыда
строго	стӧча
сумрачно	букыша
сухо	
сухо	кос
таинственно	гусьӧн
таинственно	гӧгӧрвотӧма
темно	пемыда
темно	
темно	пемыд
теперь	ӧні
тепло	шоныд
тепло	шоныдін
тепло	шоныда
тепло	
тепло	шоныд
тепло	
тепло	шоныд
терпеливо	дӧзмытӧг
тесно	топыда
тесно	
тесно	дзескыд
тесно	
тихо	
толком	гӧгӧрвоана
толсто	кыза
томно	
томно	сьӧкыд
тонко	сюся
топорно	кикурӧда
торжественно	кыпыда
торжественно	
торжественно	кыпыд
торовато	лышкыда
тоскливо	
тревожно	
трезво	ютӧг
третьёводни	войдӧрлун
трижды	куимысь
трудно	
трудно	
трудно	сьӧкыд
трусливо	полӧмпырысь
тряско	зуркыда
тряско	
тряско	зӧркыд
туго	зэлыда
туго	топыда
туго	
туго	
туманно	руа
туманно	
туманно	гудыр
тягостно	сьӧкыда
тягостно	
тяжело	сьӧкыда
тяжело	
тяжко	сьӧкыда
тяжко	
увалисто	катласьӧмӧн
уверенно	падъявтӧг
уверенно	зумыда
уверенно	эскӧмпырысь
углубленно	пыдісянь
угодливо	лесьта
удивительно	
удивительно	дивӧ
удобно	кивыв
удобно	
удобно	лӧсьыд
удовлетворённо	могмӧмавылысь
уединённо	ӧткӧн
уж	нин
ужасно	лёка
ужасно	
ужасно	
ужасно	сьӧкыд
уже	нин
узко	
украдкой	гусьӧн
уместно	
умеючи	кужӧмӧн
уморительно	
уморительно	тешкодь
умственно	вежӧрӧн
уныло	
упорно	азыма
уродливо	мисьтӧма
уродливо	модатӧма
успешно	бура
успокаивающе	лӧньӧдана
устойчиво	зумыда
утвердительно	эскӧдӧмпырысь
утомительно	
уютно	
уютно	
уютно	лӧсьыд
философски	лабутнӧя
формально	веськодьпырысь
франтовски	тшапа
хмуро	
хмуро	
холодно	
холодно	кӧдзыд
холодно	
холодно	кӧдзыд
хорошо	бура
хорошо	
хорошо	
хорошо	
хорошо	лӧсьыд
целиком	тырвыйӧ
целомудренно	вежавидзӧмӧн
цугом	звӧйкйӧн
чадно	кольмӧдана
чадно	
чадно	чад
чего	мый
черно	сьӧда
черно	
черно	
чисто	сӧстӧма
чисто	мичаа
чисто	сӧдза
чисто	
чисто	сӧстӧм
чисто	
чудесно	
чудно	тешкодя
чудно	
чутко	сюся
чутко	кокниа
чутко	стӧча
чётко	ясыда
чётко	ярскӧба
шагом	восьлӧн
шестью	квайтысь
широко	паськыда
широко	паськыда
щедро	лышкыда
экономично	видзтӧмӧн
эксцентрически	тешкодя
эскизно	ылӧсас
юзом	юзӧн
явственно	явӧ
яро	яра
ясно	
ясно	
ясно	гӧгӧрвоана
ясно	
Арктика	Арктика
завтра	аски
Цельсий	Цельсий
аберрация	ясыдтӧмлун
аберрация	ылалӧм
абонемент	абонемент
абрикос	абрикос
абсолют	ен
абстракция	абстракция
абсурд	лӧсявтӧмтор
абсурдность	лӧсявтӧмлун
аванзал	водзпом
авиабаза	авиабаза
авиабомба	авиабомба
авиагоризонт	авиавежтас
авиадесант	авиадесант
авиалиния	авиавизь
авиамодель	авиамодель
авиапочта	авиапошта
авиапредприятие	авиауджаин
авиасвязь	авиайитӧд
авто	автомобиль
автобус	автобус
автоинспекция	автоинспекция
автокамера	автокамера
автоколонна	автоколонна
автол	автол
автолавка	автолавка
автомат	автомат
автоматизация	автоматизируйтӧм
автоматика	автоматика
автомобилист	автомобилист
автомобиль	автомобиль
автономия	асъюралӧм
автопарк	автопарк
автоплуг	автогӧр
автопоезд	автопоезд
авторство	авторалӧм
авторучка	авторучка
автотранспорт	автотранспорт
автотрасса	автотуй
агат	агат
агент	агент
агентство	агентство
агитация	агитация
агитпункт	агитпункт
агнец	
агрегат	агрегат
агрессия	
агроном	агроном
агрономия	агрономия
агротехник	агротехник
адаптация	кокньӧдӧм
адвокатура	адвокаталӧм
адвокатура	адвокатъяс
адекватность	ӧткодьлун
администратор	администратор
администрирование	администрируйтӧм
адмирал	адмирал
адмиралтейство	адмиралтейство
адъютант	адъютант
ажур	синчӧж
азартность	ярлун
азбука	анбур
азбука	шыпаскуд
азбука	подув
азиат	азияса
азимут	азимут
азот	азот
азям	дукӧс
айва	айва
айсберг	йиді
академик	академик
академия	академия
аканье	акайтӧм
акация	акация
акварель	вап
аквариум	черигорт
аккорд	аккорд
аккордеон	аккордеон
аккредитив	аккредитив
акробат	акробат
аксиома	аксиома
акт	петкӧдчӧм
актуальность	коланлун
актёрство	актёралӧм
акула	акула
акушерство	гӧгинялӧм
акцент	ударенньӧ
акцепт	ладмӧдчӧм
алгебра	алгебра
алебастр	вальді
алкоголь	спирт
аллергия	аллергия
аллея	аллея
алмаз	алмаз
алтын	алтын
алфавит	анбур
алхимик	алхимик
алхимия	алхимия
алыча	алыча
альбом	альбом
альпинист	альпинист
альпинистка	альпинистка
альт	альт
альчик	шег
амба	пом
амбулатория	бурдӧдчанін
аммоний	аммоний
амнистия	амнистия
ампер	ампер
ампула	ампула
ампутация	вундӧм
амулет	видзӧг
амфибия	амфибия
амёба	амёба
аналог	ӧткодьтор
аналогия	ӧткодьлун
ананас	ананас
анархизм	анархизм
анархист	анархист
анекдот	шмонь
анемия	малокровие
анимация	ловзьӧдӧм
анимизм	
анис	анис
анод	анод
аномалия	нелючкитор
антагонизм	миритчытӧмлун
антилопа	антилопа
антитеза	паныдлун
антиципация	
антрополог	антрополог
антураж	матігӧгӧр
аорта	аорта
апатит	апатит
апатичность	веськодьлун
апатия	веськодьлун
апельсин	апельсин
аппарат	аппарат
аптека	аптека
аранжировка	
арап	плут
арахис	арахис
арбуз	арбуз
ареал	мутас
арендатор	кӧртымалысь
ариозо	ариозо
аристократ	аристократ
арифметика	арифметика
арифмометр	арифмометр
ария	ария
аркан	няртала
арматура	арматура
армеец	армееч
армия	армия
ароматизация	чӧскӧдӧм
артель	чукӧр
артельщик	артельса
артикль	артикль
артиллерист	артиллерист
артиллерия	артиллерия
артист	артист
артистка	артистка
арфа	арфа
археолог	археолог
архив	архив
архитектор	архитектор
архитектура	архитектура
асбест	асбест
аскетизм	аскетизм
аспирант	аспирант
аспирантка	аспирантка
аспирантура	аспирантура
аспирин	аспирин
ассамблея	бал
ассонанс	
ассорти	сорас
астра	астра
астронавт	астронавт
астронавтика	астронавтика
астроном	астроном
астрофизика	астрофизика
асфальт	асфальт
асфальтирование	асфальталӧм
атавизм	коляс
атаман	атаман
атлет	атлет
атлет	багатыр
атлетика	атлетика
атом	атом
атрофия	
атташе	атташе
аттестат	аттестат
аттракцион	аттракцион
аудит	ревизия
аудитор	ревизор
аукционер	аукционер
аура	югӧр
аура	асгӧгӧртас
аут	аут
аутентичность	збыльлун
аутотренинг	асызйӧг
афоризм	шусьӧг
аффикс	аффикс
аффриката	аффриката
ацидолакт	ацидолакт
аэробус	аэробус
аэровокзал	аэровокзал
аэроплан	аэроплан
аэропорт	аэропорт
аэростат	аэростат
бабаханье	швачкӧбтӧм
бабочка	бобув
багет	багет
багор	багыр
бадминтон	бадминтон
бадья	чепня
база	подув
база	база
база	видзанін
базис	подув
бакалавр	бакалавр
бакен	бакен
баклажан	баклажан
бактериолог	бактериолог
бактериология	бактериология
бал	бал
балаболка	
балаган	балаган
балалайка	балалайка
балахон	балахон
балерина	балерина
балет	балет
балетмейстер	балетмейстер
балкон	балкон
балл	балл
баллада	баллада
балласт	сьӧктӧд
балласт	ковтӧмтор
баллистика	баллистика
баллон	баллон
баллотировка	баллотируйтӧм
баловень	
баловень	
баловство	
бальзам	бальзам
бамбук	бамбук
банан	банан
бандаж	шына
бандероль	бандероль
бандит	бандит
бандитизм	бандиталӧм
бандура	бандура
банкет	банкет
бант	бант
бантик	бантик
баня	пывсян
баня	пывсьӧм
баптист	баптист
барабан	барабан
барабан	тӧбӧд
барак	барак
барахло	
барбарис	барбарис
барда	раб
баржа	баржа
барий	барий
барин	барин
баритон	баритон
баркас	баркас
барокко	барокко
барометр	барометр
барон	барон
баррикада	баррикада
барс	барс
барсук	барсук
бархат	бархат
барьер	стойка
баскетбол	баскетбол
басня	басня
бассейн	варччанін
бастион	бастион
бастующий	бастуйтысь
батальон	батальон
батарея	батарея
батист	батист
батог	бедь
батон	батон
батрачество	батракъяс
батюшка	бать
батюшка	поп
батя	бать
башлык	башлык
башмак	башмак
башня	башня
баян	баян
беганье	котралӧм
бегемот	бегемот
бегония	бегония
бегун	котралысь
беда	
беда	
беда	
безвинность	мыжтӧмлун
безволие	небыдлун
бездарность	тӧлктӧмлун
безделица	
бездельничанье	немуджтӧмалӧм
безе	безе
безжалостность	нартлун
беззубка	ракпань
безмен	безмен
безнадзорность	дӧзьӧртӧмлун
безнаказанность	мыждытӧмлун
безоблачность	сэзьлун
безобразие	пакӧсьт
безответственность	кывкуттӧмлун
безотцовщина	батьтӧмлун
безработица	уджтӧмалӧм
безразличие	веськодьлун
безрукавка	сӧстӧм
безумие	йӧйталӧм
безумство	
безынициативность	водзмӧстчытӧм
бейсбол	бейсбол
бекас	енмеж
белена	пӧттурун
белка	ур
белуга	белуга
бельмо	тус
бельчонок	урпи
беляк	
беляк	кӧч
белёк	тюленьпи
бензин	бензин
бензол	бензол
берданка	берданка
берет	берет
берёста	сюмӧд
бескорыстие	артасьтӧмлун
беспамятность	выжывлун
беспрецедентность	вӧвлытӧмлун
беспристрастие	веськыдлун
бессмертие	
бессмысленность	тӧлктӧмлун
бессовестность	яндысьтӧмлун
бесстрашие	повтӧмлун
бесстыдство	яндысьтӧмлун
бестактность	сямтӧмлун
бесхлебица	тшыгъяландыр
бесхозяйственность	идӧртӧмлун
бесцветность	рӧмтӧмлун
бесцельность	пӧльзатӧмлун
бесчестность	яндысьтӧмлун
бесёнок	вильышпоз
бетон	бетон
бефстроганов	бефстроганов
бзик	тешкодьлун
биатлон	биатлон
библиограф	библиограф
библия	библия
бизнес	бизнес
бизнесмен	бизнесмен
билет	билет
било	кыв
било	чап
бильярд	бильярд
бинокль	бинокль
бином	бином
бинт	бинт
биография	олантуй
биолог	биолог
биология	биология
биофизика	биофизика
биохимия	биохимия
биржа	биржа
бирюк	кӧин
бисер	бисер
бисквит	бисквит
биссектриса	биссектриса
битум	битум
бифштекс	бифштекс
благовещение	благовещенньӧ
благодать	
благословение	ошкӧм
благочестие	енногалун
блаженство	красуйтчӧм
бланк	бланок
блевотина	вос
блеск	
блесна	кыснан
блеф	пӧрйӧг
близость	матыслун
близость	ӧткодьлун
блин	блин
блиндаж	блиндаж
блокнот	блокнот
блоха	пытш
блузка	ковта
блюдо	тасьті
блюминг	блюминг
бляха	пража
блёклость	быгыдлун
бобок	
бобр	мой
бобёр	
богиня	
бодяга	бодяга
бодяк	
божество	ен
бойкот	бойкот
бок	бок
бокал	бокал
боксит	боксит
болото	дудӧм
болт	болт
большевизм	большевизм
большевик	большевик
болячка	дой
бомба	бомба
бомбардирование	бомбардируйтӧм
бомбардировка	бомбардируйтӧм
бомбардировщик	бомбардируйтысь
бомбёжка	бомбитӧм
бона	бона
бонус	
бонус	премия
боржоми	боржом
борода	тош
борозда	гежӧм
борт	борт
борщ	борщ
борщевик	азьгум
босс	юркутысь
босяк	зимогор
ботало	бурскан
ботаник	ботаник
ботаника	ботаника
ботанье	бурскӧм
боцман	боцман
бочка	бӧчка
боярышник	боярышник
брадобрей	шырсьысь
бракосочетание	гӧтрасьӧм
брасс	брасс
брат	вок
братина	яндӧва
братия	
братия	вокъяс
браунинг	браунинг
бредень	кӧвтым
брезент	брезент
брелок	сыр
бретелька	волыс
бригада	бригада
бригадир	бригадир
бриллиант	бриллиант
бритва	бритва
бровка	дор
бродяга	зимогор
брокер	сёрнитчӧдысь
бром	бром
броненосец	броненосеч
бронепоезд	бронепоезд
бронец	бронеч
брошь	брошка
брызгалка	чилскан
брызганье	прысьмунӧм
брюзгливость	зьваглун
брюква	галанка
брюхо	рушку
брюшко	рушкутор
бугай	ӧш
будильник	будильник
бузина	
бук	бук
бука	иж.разг.
букашка	гаг
буква	шыпас
буквальность	стӧчлун
буквальность	збыльлун
букет	букет
буксировка	кыскӧм
булат	сабля
булыжник	из
бульдог	бульдог
бульдозер	бульдозер
бумеранг	шыбовтас
бунтовщик	бунтуйтысь
бур	писькӧдчан
буржуазия	буржуазия
буржуй	буржуй
бурлачество	бурлакъяс
бутафория	йӧзаддзатор
бутерброд	бутерброд
буфер	
буффонада	теш
бухгалтер	бухгалтер
бухгалтерия	бухгалтерия
бушевание	эралӧм
бушлат	бушлат
былина	былина
быль	вӧвлӧмтор
быльё	турун
бытие	
бюллетень	кабала
бюрократ	бюрократ
бюрократизм	бюрократизм
вага	
вагон	вагон
вагонетка	вагонетка
ваза	ваза
вазелин	вазелин
вакса	вакса
вакцина	вакцина
валет	колоп
валкость	дзибырлун
валок	лёдз
вальдшнеп	мурквечик
вальс	вальс
вальцовщик	вальцуйтчысь
вампир	нярборд
ванилин	ванилин
ванна	ванна
вар	вар
варвар	варвар
варенье	варенньӧ
варка	сывдӧм
василёк	пӧлӧзнича
вассал	вассал
вата	вата
ватага	котыр
ватерпас	ватерпас
ватин	ватин
ватман	ватман
ватт	ватт
вахта	вахта
вахтёр	вахтёр
ваяние	сёртӧм
ваятель	сёртысь
введение	водзкыв
введение	сюйӧм
вгиб	нёптовтчӧмин
вдова	дӧва
вдовец	сьӧп
вдох	лолыштӧм
вдувание	пӧльтӧм
ведомость	ведомосьт
ведомство	ведомство
ведро	ведра
веер	
вездеход	вездеход
везение	мойвиӧм
век	нэм
век	нэм
веко	синлап
вектор	вектор
векша	ур
веление	тшӧктӧм
великодушие	бурлун
величание	ыдждӧдлӧм
величие	
велосипед	велосипед
велоспорт	велоспорт
вельвет	вельвет
велюр	велюр
венец	юртас
веник	корӧсь
венок	юркытш
вентилятор	тӧлӧдчан
вентиляция	тӧлӧдӧм
венчик	сыр
веранда	веранда
верблюд	верблюд
вердикт	помшуӧм
вереница	звӧйк
веретено	чӧрс
верещание	тюрзӧм
вермишель	вермишель
верование	эскӧм
верста	верст
вертлуг	дзулля
вертун	дзирыдпоз
вертун	вабергач
вертушка	
вертушка	
верфь	верфь
верх	болк
верх	эжӧд
верх	бан
верх	верктуй
верх	вылі
верховенство	юрнуӧдӧм
верховод	нырщик
верхоглядство	путьтӧмлун
верша	гымга
вершитель	бергӧдлысь
верёвка	гез
веселье	гажӧдчӧм
вескость	сьӧкталун
вескость	тӧдчанлун
весло	пелыс
весна	тулыс
вест	рытыввыв
вестибюль	водзпом
вестовой	юӧрник
весёлка	мутӧй
ветвь	рӧдвуж
ветвь	юкӧн
ветер	тӧв
ветеран	ветеран
ветерок	тӧвру
ветка	вож
ветла	бадь
ветрило	тӧвдӧра
ветряк	
ветчина	ветчина
вечер	рыт
вечерня	рытъя
вешалка	ӧшӧдан
вешание	вожӧдӧм
вещатель	тун
вещество	вещество
вещь	добра
веяльщик	тӧлӧдчысь
вживление	овмӧдӧм
взбалмошность	путьтӧмлун
взбалтывание	солькйӧдлӧм
взведение	лэптӧм
взвоз	
взморье	саридздор
взрыхление	небзьӧдӧм
взыскание	перйӧм
взятие	босьтӧм
вибрация	сырмӧм
визжание	жиньгӧм
вика	шыранькытш
викинг	руочи
викторина	викторина
вилка	вилки
вилка	вилка
вина	мыж
вина	помка
винегрет	винегрет
вино	вина
винт	винт
винтовка	винтовка
виолончель	виолончель
виселица	рель
висельник	ӧшӧдӧм
висельник	неморт
витамин	витамин
витрина	витрина
вишня	вишня
вклад	чӧжӧс
вклад	пай
владение	тӧдӧм
вливание	кисьтӧм
вливание	сюйӧм
внесение	мынтӧм
внимание	тӧд
вобла	вобла
вода	ва
водолаз	водолаз
водораздел	вапотас
водород	водород
водосток	
воевода	воевода
военачальник	военачальник
военизация	военизируйтӧм
военком	военком
военкомат	военкомат
военкор	военкор
военнообязанный	военнообязаннӧй
военнослужащий	военнӧй
вожак	новлӧдлысь
вождь	вождь
возбудитель	босьтчӧдысь
возбуждение	панӧм
возвеличение	нимӧдӧм
возвышенность	кыпыдлун
возделывание	небзьӧдӧм
воздух	сынӧд
воззвание	шыӧдчӧм
воззрение	видзӧдлас
возмещение	водзӧс
возмужалость	верстьӧлун
возмужание	сӧвмӧм
возраст	арлыд
войлок	гын
вокзал	вокзал
волейбол	волейбол
волок	вӧлӧк
волокно	шуль
волос	си
волосок	ловгӧн
волость	вӧлӧсьт
волчонок	кӧинпи
вольность	кокньӧд
вольт	вольт
вольтметр	вольтметр
вооружение	могмӧдӧм
воркованье	кургӧм
ворон	кырныш
ворона	рака
воронка	воронка
воронка	гу
вороньё	
ворох	вӧрӧк
ворох	чукӧр
ворсинка	ловтор
ворчливость	зьваглун
воскресник	вӧскресник
воскрешение	ловзьӧдӧм
восприемник	вежай
восприемница	вежань
восприимчивость	рыжлун
воспроизводство	мӧдпӧлалӧм
восьмушка	восьмина
восьмёрка	кӧкъямыс
восьмёрка	кӧкъямыса
вошь	той
вояж	путешествуйтӧм
вояка	
впадина	джумгӧр
впайка	спояйтӧм
вправка	веськӧдӧм
вправка	сюйӧм
врачевание	бурдӧдӧм
вращение	бергӧдлӧм
вращение	бергалӧм
вруб	паз
вручение	сетӧм
вручитель	сетысь
вскармливание	вердӧм
вскрик	горӧдӧм
вскрытие	восьтӧм
вскрытие	эрдӧдӧм
вскрытие	воссьӧм
вскрытие	кырлалӧм
вспашка	гӧрӧм
вспрыскивание	пызйӧм
вспышка	ыпнитӧм
вставка	содтӧд
вставка	тув
вступление	пырӧм
всхлип	вишкӧм
всхрап	корснитӧм
всхрапывание	шкоргӧм
втирание	зыралӧм
вторник	воторник
вуаль	вуаль
вулкан	вулкан
вульгаризм	
вход	пырӧм
вхождение	пырӧм
въезд	пырӧм
выбор	бӧрйӧм
выбор	бӧрйӧмтор
выбор	бӧръянтор
выборка	перъялӧм
выборность	бӧрйӧм
выборщик	бӧрйысьысь
выбрасывание	шыблалӧм
выброс	петӧм
выброс	петкӧдӧм
выварка	пуӧм
выведение	петкӧдӧм
выведение	бырӧдӧм
выведение	пӧжӧм
выведение	решитӧм
выверка	прӧверитӧм
выверт	
выверт	чикыльтчылӧм
выверт	чудитчӧм
выветривание	тӧлӧдӧм
выветривание	быгалӧм
вывих	вӧрзьӧм
вывод	петкӧдӧм
вывод	кывкӧртӧд
выводка	бырӧдӧм
выводка	пӧжӧм
выворачивание	песовтӧм
выгонка	
выгонка	вийӧдӧм
выгреб	куралӧм
выделение	петӧм
выделение	тӧдчӧдӧм
выдувка	пӧльтӧм
выдумщик	лӧсьӧдлысь
выдумывание	лӧсьӧдлӧм
выжидание	виччысьӧм
вызволение	мездӧм
выздоровление	бурдӧм
вызов	корӧм
вызов	чукӧс
выкидывание	шыблалӧм
выкипание	пакталӧм
выключение	шыбитӧм
выключение	вӧтлӧм
выключение	кусӧдӧм
выкормыш	
выкраивание	шӧралӧм
выкраивание	вичмӧдӧм
выкрик	горӧдӧм
выкройка	намет
выкуп	вештӧм
выкус	курччалӧмин
вылавливание	куталӧм
выливание	койыштӧм
вылов	кыйӧм
вылов	куталӧм
вылов	шедӧм
вылом	жугӧдӧмин
вымарка	лякӧм
вымарка	киритӧмин
вымачивание	кӧтӧдӧм
вымогание	кӧджӧм
вымогатель	кӧджысь
вымокание	тыасьӧм
вымолачивание	вартӧм
вымолачивание	нӧйтӧм
вымолот	
вымолот	вартӧм
вымолот	усьӧм
вымораживание	кынтӧм
вымочка	кӧтӧдӧм
вымочка	тыӧдӧм
вымочка	бырӧдӧм
вымпел	вымпел
вымысел	вӧвлытӧмтор
вымышленность	лӧсьӧдлӧм
вымя	вӧра
вынашивание	новлӧдлӧм
вынуждение	тшӧктӧм
выпаривание	пӧжӧм
выпас	
выпекание	пӧжалӧм
выпечка	пӧжалӧм
выпивка	
выпиливание	пилитӧм
выпирание	йӧткӧм
выписка	гижӧм
выписка	судзӧдӧм
выплавка	сывдӧм
выпойка	быдтӧм
выпорок	резьӧдӧмтор
выправление	веськӧдӧм
выправление	веськӧдӧм
выпуск	помалысьяс
выпуск	петас
выпушка	дорӧс
выработка	вӧчас
выработка	удж
выравнивание	шыльӧдӧм
выравнивание	веськӧдӧм
выражение	тӧдчӧм
выражение	выраженньӧ
выразительность	серпаслун
вырез	кӧлыс
вырезка	вундӧмтор
вырезывание	вундасьӧм
вырост	быдмӧм
вырубка	кералӧм
вырубка	тшупас
вырывание	нетшкӧм
высадка	пуктӧм
высверливание	розьӧдӧм
высвист	шутьлялӧм
высев	
высев	кӧдзӧм
высев	кӧдзан
выселение	вӧтлӧм
выселок	пӧчинок
высидка	пӧжӧм
выскабливание	гогналӧм
высказывание	мӧвп
выслеживание	туялӧм
выслуга	
выслушивание	кывзӧм
высовывание	мыччалӧм
высокогорье	джуджыдін
высота	ыджда
выставление	пуктӧм
выставление	вӧзйӧм
выступление	кыпӧдчӧм
высь	вылі
вытапливание	сывдӧм
вытаращивание	чашкӧдӧм
вытачка	кызатуй
вытеснение	зырӧм
вытопка	сывдӧм
выточка	дзуртӧм
вытравление	сотӧм
вытравление	тальӧдӧм
вытьё	шутьлялӧм
вытягивание	нюжӧдӧм
вытяжка	кыскӧм
выучка	велӧдӧм
выход	петӧм
выход	петанін
выхолаживание	кӧдзӧдӧм
вычитаемое	чинтан
вычитание	чинтӧм
вычленение	торйӧдӧм
вычурность	тшапитӧм
вышивальщица	вышивайтчысь
вышка	вышка
выя	сьылі
выявление	эрдӧдӧм
выявление	тӧдмалӧм
вьюн	
вьюнок	сиртурун
вьюрок	пинькай
вьюшка	юшка
вяз	сирпу
вязка	кӧлыш
вялость	дыгыдлун
вяхирь	вӧргулю
габардин	габардин
габарит	ыджда
габарит	кост
габаритность	ыдждалун
гавань	ӧзын
гад	пежгаг
гадость	
гадюка	
гаер	сяквар
газация	болльӧдӧм
газета	газет
газовщик	биаруалысь
газолин	газолин
гайка	гайка
гайморит	гайморит
галерея	галерея
галета	галет
галечник	галяиз
галифе	галифе
галка	чавкан
галлюцинация	кажитчӧм
галочка	пас
гантель	гантель
гараж	гараж
гарантия	видзӧм
гардероб	пӧрччысянін
гарем	гӧтыръяс
гармоника	
гармоничность	мылалун
гармоничность	лӧсьыдлун
гармошка	
гармошка	
гарнизон	гарнизон
гарнитур	гарнитур
гастролёр	летун
гастрономия	безмн.ч.
гаубица	гаубича
гашение	кусӧдӧм
гашение	бырӧдӧм
гашение	чинтӧм
гектар	гектар
гелий	гелий
гематома	шаныш
генерал	генерал
генералиссимус	генералиссимус
генерация	кӧлена
гений	енби
гений	орт
географ	географ
география	география
геодезист	геодезист
геолог	геолог
геология	геология
георгин	георгин
гепард	гепард
герань	герань
герб	вужпас
гермафродит	кидӧслун
герметичность	йиджтӧмлун
героизм	героизм
героика	героика
героиня	героиня
герой	герой
герундий	герундий
герцог	герцог
герцогство	герцогув
гетерогенность	сораслун
гибель	
гибкость	лайкыдлун
гибкость	пельклун
гигиеничность	сӧстӧмлун
гидра	гидра
гиена	гиена
гильдия	гильдия
гильза	гильза
гиляк	нивх
гимн	кып
гимназия	гимназия
гимнастёрка	гимнастёрка
гинеколог	гинеколог
гинекология	гинекология
гипербола	
гипотаксис	синӧм
гипотенуза	гипотенуза
гиппопотам	гиппопотам
гипюр	гипюр
гирлянда	гирлянда
гитара	гитара
глагол	кадакыв
гладильня	гладитчанін
гладильщик	гладитчысь
гладиолус	гладиолус
гладкость	шыльыдлун
глаз	син
глазирование	лӧстӧдӧм
глазунья	яеснича
глас	гор
глашатай	йӧзӧдысь
глина	сёй
глинистость	сёйӧдлун
глист	ков
глиста	
глицерин	глицерин
глобус	глобус
глотание	ньылалӧм
глотка	горш
глоток	ньылыштӧм
глупыш	йӧюк
глухарка	кӧндозмӧр
глухота	пельтӧмлун
глушитель	гортӧммӧдысь
глюкоза	глюкоза
