aakkosellinen	alfabehtalaš
diagrammi	diagrámma
diakuva	čuovgagovva
diakuva	diagovva
dialogi	dialoga
didaktiikka	didaktihkka
diftongi	diftoŋga
diktaattori	diktáhtor
dioksidi	dioksiida
diskoteekki	diskotehka
dokumentti	dokumeanta
edellytys	gáibadus
edeltäjä	ovddasmanni
eduskunta	riikkabeaivvit
edusta	ovda
edustaja	áirras
edustaja	ovddasteaddji
edustus	ovddastus
edustus	ovddasteapmi
ehdokas	evttohas
ehdokas	kandidáhtta
ehdotus	evttohus
ehdotus	eavttuhus
ehto	eaktu
ehtoollinen	eahkedaččat
elanto	ealáhus
elanto	eallámuš
elefantti	elefánta
elektroni	elektrovdna
elementti	elemeanta
elimistö	organisma
elin	orgána
elin	rumašlahttu
elinaika	eallinahki
elinkeino	ealáhus
elinkeinoelämä	ealáhusdoaibma
elinkeinopolitiikka	ealáhuspolitihkka
elintarvike	borramušgálvu
elinympäristö	eallinbiras
eliö	organisma
elo	eallu
elohopea	eallisilba
elokuu	borgemánnu
elokuu	ávgos
elokuva	filbma
elokuva	ealligovva
elokuvakeskus	filbmaguovddáš
elokuvateatteri	kino
elukka	ealet
eläin	ealli
eläin	gihcci
eläinhoito	šibitdoallu
eläinlääkäri	šibitdoavttir
eläinpito	šibitdoallu
eläke	ealáhat
eläkeläinen	penšunista
elämys	vásáhus
elämä	eallin
elämäkerta	biografiija
elämänkatsomus	eallinoaidnu
elämäntapa	eallinvuohki
elämäntilanne	eallindilli
emi	eapmi
emo	eadni
emäntä	eamit
emäntä	dálueamit
enemmistö	eanetlohku
energia	energiija
energia	árja
energiaministeriö	energiijadepartemeanta
englanti	eŋgelasgiella
enkeli	eŋgel
ennakkoluulo	ovdagáddu
ennätys	olahus
eno	eanu
ensiapu	heahteveahkki
epäily	eahpádus
epäluottamus	eahpeluohttámuš
erehdys	vearri
erikoiskirjasto	sierrabibliotehka
erikoislupa	sierralohpi
erimielisyys	sierramielalašvuohta
ero	erohus
eroaminen	earráneapmi
erottaminen	earuhus
erotus	earuhus
erä	earri
erämaa	meahcci
esikouluopettaja	ovdaskuvlaoahpaheaddji
esikuva	ovdagovva
esiliina	firkkal
esimerkki	ovdamearka
esimerkki	eissemearka
esimies	ovdaolmmoš
esinainen	ovdaolmmoš
esine	dávvir
esine	diŋga
esine	bierggas
esine	tiŋga
esiprojekti	ovdaprošeakta
esittely	čájáhus
esittely	čájáhallan
esitys	konsearta
esitys	jáhkku
esitys	ovdanbuktin
esityö	ovdabargu
esivanhempi	máttarvánhen
espanjantauti	spánskkadávda
este	hehttehus
este	eastta
esto	caggaseapmi
etana	riifu
etana	riipu
eteinen	feaskkir
eteinen	boarstu
etelä	lulli
etelä	oarji
etelä	máddi
etelä	bárbmu
eteläpuoli	máttabeale
eteläpuoli	lulábeale
eteläsaame	lullisámegiella
eteläsaame	máttasámegiella
eteläsaamelainen	lullisápmi
eteläsaamelainen	máttasápmi
eteläsaamelainen	lullisápmelaš
etelätuuli	luládat
eteneminen	ovdáneapmi
etiikka	etihkka
etikka	ettet
etiäinen	ovdasaš
etnisyys	čearddalašvuohta
etu	ávki
etu	ovdamunni
etu	ovdu
etujalka	ovdajuolgi
etunimi	ovdanamma
etusormi	čuvdi
etusormi	čužot
etuus	ovdu
etäisyys	gaska
etäisyys	mátkegaska
eukko	áhkká
eukko	gálgu
euro	euro
evakko	eváhkko
evankeliumi	eváŋgiljon
eversti	obersta
evä	veaksi
evä	vitta
eväsporo	niesteboazu
eväät	niesti
faksi	fáksa
farkut	doŋgeribuvssat
festari	festivála
festivaali	festivála
fieru	fiervá
fiikus	fihkon
filmi	filbma
filmifestivaali	filbmafestivála
filmintekijä	filbmadahkki
filosofi	filosofa
filosofia	filosofiija
finaali	finála
finni	čihkalas
finnmarkilainen	finnmárkulaš
firma	fitnodat
foorumi	forum
funktio	funkšuvdna
fysiikka	fysihkka
gramma	grámma
grönlanninhylje	ruoššanjuorju
grönlanninhylje	dealljá
haahka	hávda
haalija	duvssár
haamu	jámeš
haapa	suhpi
haapana	snárttal
haara	suorgi
haara	oaksi
haara	suorri
haarakeppi	suorat
haarakeppi	suorit
haarauma	suorgi
haaru	hirri
haarukka	gáffal
haasio	háse
haaska	rábbi
haastattelu	jearahallan
haaste	hástalus
haava	hávvi
haavauma	uddu
haaveilija	niehkulaš
haavi	hoavva
hahmo	hápmi
hahmo	figuvra
hai	áhkalakkis
haitta	hehttehus
hajonta	biđggiideapmi
haju	hádja
hakemus	ohcan
hakemus	ohcamuš
hakija	ohcci
hakija	oahcci
hakkuupaikka	čuolahat
hakkuupölkky	smáhkkomuorra
hakkuupölkky	belko
hakuaika	ohcanáigi
halkaisija	diamehtar
halkaisukirves	lutton
halko	hálgu
halkoja	lutton
halkopino	fiidnu
halla	suoldni
hallinto	hálddašeapmi
hallinto	hálddahus
hallinto	administrašuvdna
hallintoalue	hálddašanguovlu
hallintoalue	hálddahanguovlu
hallintoelin	hálddašanorgána
hallintojärjestelmä	hálddašanortnet
hallintolaki	hálddašanláhka
hallintosuunnitelma	hálddašanplána
hallintovastuu	hálddašanovddasvástádus
hallitsija	ráđđejeaddji
hallitus	ráđđehus
hallitus	stivra
halonhakkuupaikka	rántet
haltija	eaiggát
halu	hállu
hamara	šimir
hame	čuvla
hammas	bátni
hammaslääkäri	bátnedoavttir
hammastikku	solon
hammastikku	bátnesoallun
hammastikku	soallun
hamppuköysi	nuovvebáddi
hamppunaru	nuovvebáddi
hanhi	čuonjá
hanke	fidnu
hanki	cuoŋu
hankikanto	guottádat
hankikeli	roavskkádat
hanko	heŋggon
hapanhera	suvri
happi	oksygena
happo	suvri
hapro	eavru
harakka	skire
harakka	ruoššagáranas
harakka	ruoššaskire
harava	riifu
harava	hárát
harjoittelija	hárjeheaddji
harjoittelu	hárjehallan
harjoitteluhousut	hárjehallanbuvssat
harjoittelutakki	hárjehallanjáhkka
harjoitteluvaatteet	hárjehallanbivttas
harjoitus	bargobihttá
harjoitus	hárjehus
harkki	treagga
harmaakaihi	dieigi
harmo	ránan
harppi	pássár
harppu	hárpá
harrastelija	buđaldeaddji
harrastus	áiggeádji
hartia	hárdu
harus	snáhki
hattu	háhtta
haude	hávdda
hauki	hávga
haukkumasana	cielus
haukotus	gávas
hauli	hávla
hauta	hávdi
hautausmaa	girkogárdi
havainto	fuomášupmi
havainto	áicu
havumetsä	goahccevuovdi
hedelmä	šaddu
hedelmä	heđen
heiluri	dearbastihkka
heiluri	šlimpá
heimo	čearda
heinä	suoidni
heinä	rássi
heinä	ávji
heinähanko	háŋgu
heinäkupo	lágut
heinäkuu	suoidnemánnu
heinäkuu	julii
heinäsirkka	rásselohkku
heinäsuova	suovvi
heinätyö	ládju
heinävita	hávgarássi
heittiö	bindda
heitto	bállahastin
heittonuoli	soddi
helikopteri	helikopter
hella	uvdna
hella	omman
helle	báhkka
helluntai	hellodagat
helluntaipäivä	heláduorastat
helluntaipäivä	helloduorastat
helluntaitorstai	heláduorastat
helluntaitorstai	helloduorastat
helma	healbmi
helmanheilutus	šlivggas
helmi	bearal
helmi	helbmo
helmikuu	guovvamánnu
helmipöllö	idjaloddi
helppous	álkivuohta
helve	vuolahas
helvetti	helvet
hemppo	ruoivil
henki	vuoigŋa
henki	heagga
henkilö	olmmoš
henkilö	persovdna
henkilökunta	bargoveahka
henkitorvi	giegir
heprea	hebreagiella
hera	missu
herkku	hersko
herne	earta
herra	hearrá
herruus	hearrávuohta
heräys	moriidus
hetki	boddu
hetula	skuogga
hetulavalas	bossu
hevonen	heasta
hevonen	heavuš
hevosloimi	váipe
hevosmies	heasttahas
hevospaarma	lávžá
hieho	guigu
hiekka	sáttu
hiekkalinna	sáttošloahtta
hienostelija	kempe
hietakampela	njuvvat
hietamato	máhkka
hietikko	sáttu
hiha	soadji
hiha	soadjá
hihitys	nihlla
hihna	lávži
hiihto	čuoigan
hiihtohousut	čuoiganbuvssat
hiihtokilpailu	čuoigan
hiihtopäivä	čuoiganbeaivi
hiihtäjä	čuoigi
hiili	čađđa
hiili	hilla
hiilidioksidi	kárbondioksiida
hiillos	áššu
hiippakunta	bismagoddi
hiirenpesä	boassa
hiirenvirna	sáhpal
hiiri	sáhpán
hiiri	sábin
hiiri	njierrá
hiiri	šnjierrá
hiiva	jeasta
hiiviskelijä	njágan
hiki	bivastat
hiljaisuus	jaskatvuohta
hilla	luomi
hilla	láttat
hillo	muorjemeastu
hilse	gatna
himo	hipmu
hinkuyskä	sainnahat
hinta	haddi
hiomakivi	heaidna
hirnunta	šnjirggas
hirsi	hirsa
hirsipuu	harcamuorra
hirssi	hirssat
hirttoköysi	harcabáddi
hirvas	sarvvis
hirvenpyynti	ealgabivdi
hirvenpyynti	ealgabivdu
hirventalja	sarvváskat
hirventalja	sarvádat
hirvi	ealga
hirvikoira	ealgabeana
hirviö	boragas
historia	historjá
historiaseura	historjásearvi
historioitsija	historjáčálli
hiukkanen	čalbmi
hius	vuokta
hiusshampoo	vuoktašámpu
hiustupsu	culpi
hiustupsu	cumpi
hoitaja	dikšu
hoito	dikšu
hoito	dikšun
hokija	hoagan
holhooja	hovdejeaddji
holhooja	forminddar
holkeri	áhkalakkis
holvi	holve
home	guohpa
homma	hommá
homofiili	homofiila
hopea	silba
hopeavyö	násteboagán
hotelli	hotealla
houkka	cohcci
houkka	doavkkan
housu	buksa
housuntasku	buksalumma
housut	buvssat
housut	buksa
hovi	hoavva
huhtikuu	cuoŋománnu
huhtikuu	cuoŋosmánnu
huhtikuu	ápril
huhu	beakkohus
huhupuhe	solža
huijari	ogon
huippu	čohkka
huippu	boldni
huiske	fáippas
huivi	čeabetliidni
hujoppi	goaigi
hulluus	jallodat
hulpa	holbi
hulpio	holbi
hulpiokangas	holbbis
humina	hupma
hunaja	miehta
hunaja	honet
huokailu	šuohkas
huokaus	šuohkanas
huoli	beroštus
huoli	moraš
huoli	fuolla
huolto	dikšun
huomio	áican
huone	latnja
huonekalu	stohpogálvu
huonekalu	viessogálvu
huonokuuloisuus	bealjehisvuohta
huoruus	fuorrávuohta
huppu	skuohppu
hutilus	ruššu
hutilus	rufanas
huudahdus	čurvestat
huuli	bavssa
huume	narkotihkka
huumori	humor
huuru	rusta
huutaja	huikkan
huuto	čuorvvas
huuto	huikkas
huutokauppa	bidjet
huutokerta	huikkanas
huutosakki	huikinjoavku
hylje	njuorjju
hylje	njuorju
hyljekenkä	njuorjjot
hylly	hildu
hylly	ildu
hymy	modji
hyppijä	njuikkon
hyppimispaikka	njuikkohat
hyppy	njuikun
hyppyri	njuikehat
hypähdys	njuikestat
hyttynen	čuoika
hyve	buorri
hyvinvointi	čálgu
hyvitys	soabahus
hyvyys	buorrevuohta
hyvyys	burrodat
hyväkäs	fávre
hyvästit	fárvealla
hyytelö	dildu
hyökkäys	falleheapmi
hyökkääjä	falleheaddji
hyönteinen	divri
hyönteinen	boatkkahas
hyöty	ávki
hyöty	gudda
häilähdys	suoivvanas
häiriö	hehttehus
häiriö	segohus
häkä	heahki
hälinä	šuddi
hämähäkki	heavdni
häntä	seaibi
häpy	heahpu
häpykarva	siehppa
häpykieli	bunnu
härkin	herkken
härkylä	dealgi
härkä	burru
härkä	vuoksá
härmäsieni	reakci
hätistys	šikkas
hätä	heahti
hätähousu	šuđgá
häveliäisyys	heahpu
hääkruunu	bruvda
hääkuva	náittosgovva
häälahja	headjaskeaŋka
hääpari	náittosbárra
hääpari	náittospárra
häät	heajat
häät	náittus
häävieras	heajastalli
hössöttäjä	duđan
höylä	heavval
höylä	rohkkil
höyläyspaikka	vuolahat
höyry	hevro
höyrylaiva	dámpa
idea	jurdda
ideaali	ovdagovva
identiteetti	identitehta
ideologi	ideologa
ideologia	ideologiija
idänniittyleinikki	fiskesrássi
ien	aldna
ihme	imaš
ihminen	olmmoš
ihmiskirppu	lahpis
ihmiskunta	olmmošsohka
ihmisoikeus	olmmošvuoigatvuohta
ihmisoikeuslaki	olmmošvuoigatvuođaláhka
ihmisyys	olmmošvuohta
iho	liiki
ihottuma	ihtalupmi
ihottuma	ihtamas
ikkuna	láse
ikkuna	glássa
ikkuna	lássa
ikkuna	láseráigi
ikkuna	ihkkon
ikkunapieli	lásegárbma
ikkunapieli	lássalávdi
ikkunaruutu	ruktá
ikä	ahki
ikävyys	ahkitvuohta
iljanne	vuožži
ilkivalta	uskealla
ilma	dálki
ilma	áibmu
ilmaisu	dajahus
ilmakehä	áibmogeardi
ilmanvaihto	biggoheapmi
ilmasto	dálkkádat
ilmastomuutos	dálkkádatrievdan
ilmattomuus	áimmuhisvuohta
ilme	geahčastat
ilmiantaja	váidi
ilmiö	fenomena
ilmiö	albmoneapmi
ilmoittautuminen	čáliheapmi
ilmoitus	almmuhus
ilo	illu
ilta	eahket
iltahämärä	veaigi
iltapala	eahketborramuš
iltapäivä	maŋŋelgaskabeaivi
iltapäivä	eahketbeaivi
iltapäiväkerho	astoáigeklubba
iltaruoka	eahketborramuš
iltatuokio	eahketbodda
ilves	albbas
inarinkieli	anárašgiella
inarinsaamelainen	anáraš
inarinsaamenkieli	anárašgiella
infrastruktuuri	infrastruktuvra
inhimillisyys	olmmošvuohta
innovaatio	innovašuvdna
insinööri	inšenevra
instituutio	ásahus
instituutti	instituhtta
internaatti	internáhtta
internetti	interneahtta
intiaani	indiána
into	mokta
investointi	investeren
irvistelijä	njeccon
isku	časkkástat
iskuaalto	časkinbárru
iskusana	čurvestat
isoisoisä	máttaráddjá
isoisoäiti	máttaráhkku
isoisä	áddjá
isokoskelo	gussagoalsi
isokulkunen	golka
isolumikko	gáđffáš
isosimppu	áhkábiddu
isovarvas	bealgi
isoäiti	áhkku
isä	áhčči
isäntä	isit
itku	čieras
itkupilli	čierrá
itsehillintä	viivu
itsehillintä	viivvur
itsemäärääminen	iešmearrideapmi
itsemääräämisoikeus	iešmearridanvuoigatvuohta
itsenäisyys	iehčanasvuohta
itsepäisyys	ceagga
itsetunto	iešdovdu
itä	lulli
itä	nuorta
itä	nuorti
itäosa	nuortabealli
itäsaamelainen	nuortasápmi
itätuuli	luládat
itätuuli	beavža
itätuuli	ovsttán
jaarittelija	dálssár
jaarittelija	hoalan
jaaritus	solža
jaaritus	járehus
jakaja	juohkki
jakelu	juogadeapmi
jako	juohkin
jako	juohku
jakso	oassi
jakso	ráidu
jalas	jálás
jalka	juolgi
jalkakäytävä	váccáhat
jalkakäytävä	vázzinravda
jalkapallo	spábbačiekčan
jalkapallo	čiekčanspábba
jalkapalloilija	čiekči
jalkapalloilija	spábbačiekči
jalkapallokenttä	spábbačiekčanšillju
jalkapalloliitto	spábbačiekčanlihttu
jalkapallopelaaja	čiekči
jalkapalloseura	spábbačiekčanjoavku
jalkaväki	juolgeveahka
jalkopää	juolgeluš
jalohaukka	fálli
jano	goiku
jaos	juogus
jatke	joatkka
jatko	joatkka
jatko	joatkki
jatkokoulutus	joatkkaoahpahus
jatkokoulutus	joatkkaoahppu
jatkosota	joatkkasoahti
jauho	jáffu
jauho	jáfu
jauhot	jáffut
jodiliuos	jukta
joenranta	johkagáddi
joensuu	joganjálbmi
johdanto	álggahus
johdos	suorggus
johtaja	jođiheaddji
johtaja	hoavda
johtaja	direktevra
johto	njunuš
johtokunta	stivra
joikaaja	juoigi
joiku	luohti
joikukonsertti	juoigankonsearta
joki	johka
joki	eatnu
jokilaakso	roggi
jokitörmä	mielli
jokivene	johkafanas
jolla	jolla
jono	gurgadas
jouhi	juovka
jouhi	šuovka
jouhisorsa	vuojaš
jouhivihvilä	giilu
jouhivihvilä	selddetrássi
joukko	joavku
joukkue	lága
joulu	juovllat
jouluaatto	juovlaruohtta
joulujuhla	juovlafeasta
joulukoriste	juovlačikŋa
joulukortti	juovlakoarta
joulukortti	juovlagoarta
joulukuu	juovlamánnu
joulukuusi	juovlamuorra
joululahja	juovlaskeaŋka
joululahja	juovlapáhkka
joululahja	juovlabáhkka
joululaulu	juovlalávlla
joululoma	juovlaluopmu
joulupaketti	juovlapáhkka
joulupaketti	juovlabáhkka
joulupukki	juovlastállu
joulupuu	juovlamuorra
joulutonttu	juovlastállu
jousi	dávgi
joustavuus	dávggasvuohta
joutavuus	joavdelasvuohta
joutilaisuus	joavdelasvuohta
joutsen	njukča
juhannus	mihcamárat
juhannus	jonssot
juhla	ávvudeapmi
juhla	feasta
juhla	riemut
juhlapäivä	illubeaivi
juhlavaatteet	čikŋabivttas
juhliminen	ávvudeapmi
juksa	váđđu
julistaminen	almmuheapmi
juliste	plakáhta
julistus	julggaštus
julkaisu	publikašuvdna
julkisuus	almmolašvuohta
jumala	ipmil
jumalanpalvelus	ipmilbálvalus
jumalatar	ipmil
jumppa	lášmmohallan
jumppavaatteet	hárjehallanbivttas
juna	toga
juoksija	viehkki
juoksu	viehkan
juoksute	diva
juoksutella	viegahallat
juoksutusmaha	doggi
juolukka	ehtemas
juolukka	juogut
juoma	jugus
juoma	juhkamuš
juoma	jugástat
juominen	juhkan
juoni	juotna
juoppous	jugešvuohta
juoru	šláttar
juotava	jugástat
juotos	jugahus
juottokauha	skoret
juova	juovva
jurakko	náđet
juristi	jurista
juttu	sáhka
juurakko	guottu
juurakko	ruotkkuš
juurakko	ruotku
juuri	máddu
juuri	ruohtas
juuri	veaddi
juuri	ruohcas
juuriköysi	reašmi
juurisäie	feaddi
juusto	vuostá
juusto	vilgesvuostá
juustomassa	čuvku
juustovoileipä	vuostáláibi
jylinä	julla
jyminä	julla
jyrinä	jurra
jyrkänne	gomu
jyrkänne	heaŋggu
jyrsepala	jurssahas
jyvä	gordni
jyvänen	čalbmi
jäkälä	jeagil
jälkeläinen	maŋisboahtti
jälki	luodda
jälkiruoka	deattáldat
jälkiruoka	bajálaš
jäniksenansa	šokčá
jänis	njoammil
jännite	gealdagas
järistys	doarggástus
järjestelmä	vuogádat
järjestelmä	systema
järjestys	ortnet
järjestäjä	lágideaddji
järjestö	organisašuvdna
järki	jierbmi
järripeippo	vintán
järvenranta	jávregáddi
järvi	jávri
järvikorte	bohccosuoidni
järviruoho	sihta
järviruoko	beatnatrávra
jäsen	lahttu
jäsen	miellahttu
jäsenyys	miellahttuvuohta
jäsenyys	lahttuvuohta
jätkä	jeatká
jätski	lákcajiekŋa
jättiläinen	jiehtanas
jättiläishai	šuorja
jää	jiekŋa
jäähdyke	čoaskkadas
jääkausi	jiekŋaáigi
jääkiekko	jiekŋaskearru
jääkieleke	jieŋkʼgávli
jääkolo	rudni
jääkuikka	áhpedovtta
jääkuori	bulži
jäälautta	baldu
jäänne	bázahas
jäärae	čuorpmas
jääsilta	jieŋas
jääteli	baldu
jäätelö	lákcajiekŋa
jäätie	jieŋas
jäätikkö	jiehkki
kaakao	kakáo
kaakko	nuortalulli
kaakkuri	gáhkkor
kaamos	skábma
kaamos	sevdnjesáigi
kaamosaika	skábma
kaamosaika	sevdnjesáigi
kaappi	skábe
kaappi	skáhppe
kaappi	skáhppa
kaarasjokelainen	kárášjohkalaš
kaarre	gárdi
kaasu	gássa
kaatumatauti	jámálgaddanvihki
kaava	minsttar
kahlaamo	gála
kahmaisu	njámastat
kahva	uksageavja
kahvi	gáffe
kahvi	káffe
kahvi	gáfet
kahvi	káfet
kahvikuppi	gáffegohppa
kahvila	kafea
kahvila	gáffádat
kahvintuoksu	gáfehádja
kahvipannu	gievdni
kahvitauko	gáffeboddu
kahvitauko	gáfeboddu
kahvituokio	gáfeboddu
kaiku	dávástus
kaiku	gájanas
kailottaja	gášan
kaima	gáibmi
kaimakset	gáimmežat
kaivanto	rokkahat
kaivo	gáivo
kaivonvintti	vinta
kaivos	kruvvá
kaivos	ruvki
kaivostoiminta	ruvkedoaibma
kakka	buhkka
kakkonen	guvtteš
kakkonen	guovttáš
kakku	gáhkku
kaksikielisyys	guovttegielatvuohta
kaksikielisyys	guovttegielalašvuohta
kaksikko	guovttos
kaksoisleuka	duppalgáibi
kaksonen	jumeš
kaksonen	jumešbealli
kaksonen	curre
kala	guolli
kalajärvi	guollejávri
kalalokki	skávli
kalalokki	báiski
kalanliha	cuohppa
kalannahka	čuopma
kalansuolimakkara	guhtamáhka
kalaonni	guollelihkku
kalaparvi	spierru
kalaparvi	oaivádat
kalapulla	guollegáhkku
kalapää	guolleoaivi
kalastaja	bivdi
kalastaja	guolásteaddji
kalastaja	guollebivdi
kalastajakylä	vearra
kalastaminen	guollebivdu
kalastaminen	guolásteapmi
kalastaminen	mearrabivdu
kalastus	guollebivdu
kalastus	guolásteapmi
kalastus	guolástus
kalastus	mearrabivdu
kalastus	fisku
kalastuskilpailu	oaggungilvu
kalastusministeri	guolástusministtar
kalastusoikeus	guolástanvuoigatvuohta
kalastuspolitiikka	guolástuspolitihkka
kalastustyö	guollebargu
kalastusvaja	guolleskadjá
kalatehdas	guollerusttet
kalattomuus	guolehisvuohta
kalaverkko	sáibma
kalenteri	kaleanddar
kalina	skálla
kalkki	kálka
kalleus	divrrasvuohta
kallio	bákti
kallio	gálli
kallokas	gállot
kalmanhaju	váidnahádja
kalusto	gálvvut
kaluttava	snuggamuš
kamari	gámmir
kamari	gámmár
kampa	čohkun
kampa	čogu
kampa	gálggan
kampaaja	vuoktačuohppi
kampela	finddar
kamppailu	dáistaleapmi
kana	vuonccis
kanahaukka	vuoncáfálli
kanava	kanála
kandidaatti	kandidáhta
kangas	gákkis
kangaskeltalieko	gieldá
kanki	gáŋga
kannas	muotki
kannas	guotku
kannattaja	guotteheaddji
kannatus	guottehus
kannu	mugga
kansa	álbmot
kansakoulu	álbmotskuvla
kansakunta	álbmotjoavku
kansakunta	náššon
kansalainen	borgár
kansalaisuus	borgárvuohta
kansallislaulu	nášuvnnalávlla
kansallispuisto	álbmotmeahcci
kansallispäivä	álbmotbeaivi
kansallisuus	álbmotlašvuohta
kansanedustaja	riikkabeaiveolmmái
kansanjoukko	mágoddi
kansankatastrofi	álbmotkatastrofa
kansankokous	álbmotčoahkkin
kansankorkeakoulu	álbmotallaskuvla
kansanoikeus	álbmotriekti
kansanpuolue	álbmotbellodat
kansanäänestys	álbmotjienasteapmi
kansi	lohkki
kansio	gihpa
kansio	olggoš
kanslia	kansliija
kanta	šušmi
kantaja	guoddi
kantasana	ruohtas
kantatie	máttageaidnu
kanto	jalŋŋis
kantti	kánta
kapasiika	roatnet
kapellimestari	kapeallameašttir
kapi	gáittát
kapina	stuibmi
kapinallinen	gaikár
kappale	kapihtal
kappale	stuhkka
kappeli	kapealla
kapteeni	heavsmánni
kapustarinta	bižus
karanteeni	karantena
kardinaali	kardinála
karhu	guovža
karhu	bierdna
karhunpoika	bierdni
karhunputki	stáloboska
kari	boađđu
karike	botkkus
karitsa	láppis
karitsannahka	láppaskas
karja	eallu
karja	oamit
karjaisu	čeargganas
karjakko	návetvázzi
karjatalo	šibitdállu
karjunta	čearggas
karkki	njálggus
karkkihylly	njálggeshildu
karkulainen	gárgolaš
karkulainen	lovpár
karsinta	njáskan
kartano	gárdin
kartoittaminen	kárten
kartta	kárta
kartta	gárta
karva	guolga
karvakenkä	goikket
karvanluonti	guolbmá
kasa	látna
kasetti	kaseahtta
kasettisoitin	kaseahttačuojanas
kasi	gávcceš
kassa	gássa
kassa	kássa
kaste	gásta
kaste	suoldni
kastejuhla	gásta
kastike	buonjus
kastike	sevsa
kastike	buotnjomuš
kasvain	šattalmas
kasvain	guorti
kasvatti	biepmohas
kasvatus	bajásgeassin
kasvatus	šaddadeapmi
kasvi	šaddu
kasvillisuus	šattolašvuohta
kasvillisuus	vegetašuvdna
kasvot	muođut
kasvot	ámadadju
kasvot	ánsikta
kasvu	šaddu
kataja	gaskkas
kataja	reatká
kateturve	muttar
katinkulta	riebansilba
katinlieko	beatnatgieldá
katkaisin	botkkon
katkismus	kátkkesmus
katkominen	boatkun
katos	goavdi
katos	luokti
katse	geahčastat
katsoja	geahčči
kattikulta	riebangolli
kattila	málesruitu
kattila	gieđbmi
kattila	máleslihtti
kattila	vuoššanruitu
katto	dáhkki
katto	rohpi
katto	gáhttu
katu	gáhta
katu	gáhtta
katumus	gáhtu
katuristeys	luoddaearru
katuristeys	gáhtaearru
kauhistus	gáfestus
kauhti	liidnegákti
kaukalo	gávgil
kaula	čeabet
kaula	čeabi
kaula	čeabát
kaulahuivi	čeabetliidni
kaulain	guovllas
kaulaliina	liidni
kaulaliina	šearfa
kaulaliina	kuššát
kaulin	gealva
kauluri	raddeleahppi
kaulus	kráva
kauneus	čábbodat
kaunokainen	čábbe
kaunokirjallisuus	čáppagirjjálašvuohta
kaupankäynti	gávpi
kaupanteko	gávppašeapmi
kaupantyöntekijä	rámburbargi
kaupattavuus	johtilvuohta
kauppa	gávpi
kauppa	rámbuvri
kauppa	rámbuvri
kauppakeskus	gávpeguovddáš
kauppala	gávpegielda
kauppaliike	krámbuvda
kauppalista	gávppašanlistu
kauppalista	gávppašanlihppu
kauppaministeriö	gávpedepartemeanta
kauppatavara	gávpegálvu
kauppias	gávppálaš
kauppias	gávpejas
kauppias	giehmánni
kauppias	boalvár
kaupunginosa	gávpotoassi
kaupunginvaltuusto	gávpotstivra
kaupunki	gávpot
kaupunkilainen	gávpotolmmoš
kaura	hávvar
kauris	ruoigu
kausi	áigodat
kausta	gávstá
kaveri	skibir
kaveri	verdde
kaveri	rádná
kehittyminen	ovddideapmi
kehitys	ovdáneapmi
kehitysmahdollisuus	ovdánanvejolašvuohta
kehitysrahasto	ovddidanfoanda
kehitystyö	ovdánahttinbargu
keho	rumaš
kehotus	ávžžuhus
kehotus	rávvehus
kehräsluu	behkeš
kehrääjä	badni
kehräämö	banáhat
kehto	geaŧŧu
kehu	rápmi
kehys	rámma
kehys	rápma
kehä	biras
keino	geaidnu
keisari	keaisár
keisarikunta	keaisárriika
keitinselkä	goaŋku
keittiö	gievkkan
keittiö	kievkkan
keitto	mális
keitto	málli
keittoastia	vuoššanruitu
keksi	keaksa
keksijä	hutki
keksintö	hutkkus
kekäle	ráddi
keli	siivu
keli	šakŋa
kelipitävyys	coakci
kelkka	gielká
kelkkacrossi	skohtercrossa
kellari	geallir
kellari	keallir
kello	diibmu
kello	tiibmu
kello	biellu
kello	tiibma
kellokas	biellohas
kellokas	biellán
kellokas	skilan
kelohonka	soarvi
kelpoisuus	gelbbolašvuohta
kelpoisuus	máhtolašvuohta
keltatauti	fiskesdávda
keltavästäräkki	fiskescizáš
kemia	kemiija
kengänkudonta	gámagoarrun
kenkä	gáma
kenkä	skuovva
kenraali	generála
kenttä	gieddi
kenttälaji	gieddešládja
kenttämyyrä	muolddat
kepponen	vilpa
keripukki	skurbbet
kerjuu	gearjádus
kerma	lákca
kermakakku	lákcagáhkku
kermaviili	loahppelákca
kermikäntalja	čearpmahat
kerros	geardi
kerrostalo	geardeviessu
kerrottava	sáhka
kerta	geardi
kerta	hávvi
kertomus	muitalus
kerä	nođđu
kerä	oaivvahat
keräpääpoimulehti	rivgovuolpu
kesipuoli	asibealli
keskiaika	gaskaáigi
keskiarvo	gaskaárvu
keskiaukeama	gaskasiidu
keskipäivä	gaskabeaivi
keskipäivä	gaskabeaivvit
keskiviikko	gaskavahkku
keskiyö	gaskaidja
keskiyörokki	gaskaijarock
keskus	guovddáš
keskus	guovddaš
keskusta	guovddáš
keskustelu	digaštallan
keskustelu	ságastallan
keskustelu	sártnodeapmi
kestikievari	geastegiivvár
kesto	bistu
kesytys	dápmu
kesä	geassi
kesäalue	geasseorohat
kesäalue	geassesadji
kesäkuu	geassemánnu
kesäkuu	junii
kesälaidun	geasseguohtun
kesäloma	geasseluopmu
kesänavetta	geassenávet
kesättivaljaat	geasis
kesävaatteet	geassebivttas
ketju	gehtegat
kettinki	kihtet
kettu	rieban
keuhko	geahpis
keuhkotauti	teret
keuhkotauti	deret
kevytmaito	geahppamielki
kevät	giđđa
