абсолютнӧй	абсолютный
гӧрдлун	краснота
гӧровтас	выбоина
гӧрӧд	узел
гӧрӧд	завязка
гӧснеч	взятка
гӧститӧдантор	угощение
гӧстя	гостья
гӧч	хрящ
дарвинизм	дарвинизм
дарга	пескарь
дарга	ёрш
дарнӧс	проушина
дасьлун	готовность
дата	дата
дача	дача
двор	двор
двореч	дворец
двустволка	двустволка
дед	предок
дежурство	дежурство
дезертир	дезертир
дезинфекция	дезинфекция
дезинформация	дезинформация
дезорганизатор	дезорганизатор
дезорганизация	дезорганизация
действие	действие
декабр	декабр
декада	декада
декан	декан
деканат	деканат
декрет	декрет
демилитаризация	демилитаризация
демобилизация	демобилизация
демократ	демократ
демократизация	демократизация
демократизм	демократизм
демократия	демократия
демонстрация	демонстрация
депо	депо
деревня	деревня
держава	держава
десятина	десятина
десятка	десяток
десятник	десятник
детдом	детдом
детектив	детектив
детина	мальчик
детина	парень
дефис	дефис
деятель	деятель
джодж	пол
джодждӧра	половик
джын	середина
дзебанін	могильник
дзебӧмин	укрытие
дзебӧмин	захоронение
дзебӧмтор	укрытое
дзебӧмтор	утаённое
дзескыдін	теснота
дзескӧдӧм	давление
дзимбыр	дресва
дзирд	блёстки
дзодзув	ящерица
дзодзӧгпи	гусёнок
дзолядыр	детство
дзоньвидзалун	здоровье
дзорлун	седость
дзу	куча
дзугӧс	путаница
дзулля	вертлюг
дзулля	крестец
диагноз	диагноз
диаграмма	диаграмма
диафильм	диафильм
диверсант	диверсант
диверсия	диверсия
дивизия	дивизия
диета	диета
дикар	дикарь
диктант	диктант
диктатура	диктатура
диплом	диплом
дипломатия	дипломатия
дирекция	дирекция
дискуссия	дискуссия
диспансер	диспансер
диспетчер	диспетчер
диссертация	диссертация
дисциплина	дисциплина
дитюк	дитятко
дитюк	голубчик
дневник	дневник
договор	договор
додь	сани
доз	посуда
дой	боль
дой	болячка
доймӧм	боль
доймӧм	увечье
доказательство	доказательство
доклад	доклад
доктор	доктор
документ	документ
долыдлун	жизнерадостность
домино	домино
дон	цена
донос	донос
донтӧмлун	дешевизна
допризывник	допризывник
допрос	допрос
дорвидзӧг	граница
дорйысьысь	оправдывающийся
дорйӧг	защита
дорйӧг	оборона
дорччанін	кузница
дорччысь	кузнец
дорыш	край
дорыш	лезвие
доход	доход
дояр	дояр
драмкружок	драмкружок
драмтеатр	драмтеатр
дружба	дружба
дружина	дружина
дружинник	дружинник
дрӧб	дробь
дубитчанін	дубильня
дулӧ	дуло
дум	желание
дурлун	глупость
духи	духи
духовка	духовка
дуэль	дуэль
дыж	перепонка
дыштор	жилка
дюжина	дюжина
дюжлун	выносливость
дядь	отчим
дядьводз	неродной
дяк	дьяк
дякича	дьякича
дякӧнича	дьяконица
дін	кочерыжка
дӧвалун	вдовство
дӧз	редко
дӧз	досада
дӧз	раздражение
дӧзьӧр	уход
дӧманик	доманик
дӧмастор	заплатка
дӧра	холстина
дӧска	доска
еджыдлун	белизна
единица	единица
ельдӧг	груздь
енэжиз	метеорит
енэжтас	горизонт
епархия	епархия
епископ	епископ
еретник	колдун
еретнича	колдунья
ефрейтор	ефрейтор
жакет	жакет
жальлун	жалость
жалӧба	жалоба
жандарм	жандарм
жанр	жанр
жеблун	скудость
жель	заноза
жеребей	жребий
жертва	жертва
живопись	живопись
жонь	снегирь
жугалӧмин	пролом
жуглӧс	обломок
жук	жук
жулик	жулик
журнал	журнал
журналист	журналист
жыр	комната
жӧлвак	желвак
жӧм	пресс
жӧник	жених
забастовка	забастовка
забой	забой
забойщик	забойщик
забота	забота
зав	заведующий
заварка	заварка
завертка	завёртка
завет	завет
завтрак	завтрак
завхоз	завхоз
загадки	загадка
заглавие	заглавие
заговор	заговор
заговорщик	заговорщик
загс	загс
заданньӧ	задание
задатки	задаток
задача	задача
задачник	задачник
задник	задник
зажигалка	зажигалка
заказ	заказ
закал	закал
закалка	закалка
заклад	заклад
закон	закон
закуска	закуска
залп	залп
замазка	замазка
заместитель	заместитель
заметка	заметка
занавес	занавес
зап	запас
записка	записка
заповедник	заповедник
запрет	запрет
запрос	запрос
заработок	заработок
зарад	заряд
зараза	зараза
заргум	дудник
заслуга	заслуга
засуха	засуха
затвор	затвор
затон	затон
затор	затор
захватчик	захватчик
заём	заём
збодерлун	бодрость
збодерлун	щегольство
збыльмытӧмтор	утопия
зверство	зверство
звӧн	звон
звӧнок	звонок
здоровье	здоровье
землемер	землемер
земляк	земляк
зерносушилка	зерносушилка
зернохранилище	зернохранилище
змейпи	змеёныш
знак	знак
знамя	знамя
зоб	зоб
зона	зона
зонтик	зонтик
зоология	зоология
зоопарк	зоопарк
зоотехник	зоотехник
зорӧд	стог
зубилӧ	зубило
зульӧ	неряха
зуньӧ	копуша
зыбка	зыбка
зывгун	нытик
зывӧк	презренный
зык	шум
зык	вражда
зымвидзантор	громада
зыр	лопата
зыртчӧмин	потёртость
зыртӧмин	потёртость
зырым	сопли
зыряна	зыряне
зяб	зябь
зять	зять
зі	овод
зіб	шест
зӧлӧтник	золотник
зӧлӧтука	золотуха
зӧртусь	бородавка
идеал	идеал
идеализм	идеализм
идеалист	идеалист
идеолог	идеолог
идеология	идеология
идея	идея
идз	голенище
идз	паголенок
идӧг	ангел
изанін	мельница
издательство	издательство
изкар	крепость
измена	измена
изменник	изменник
изобретатель	изобретатель
изобретитӧмтор	изобретение
изолятор	изолятор
изюм	изюм
именник	именинник
иммунитет	иммунитет
империализм	империализм
ин	место
иналун	верность
инвентаризация	инвентаризация
индустрия	индустрия
индӧд	замечание
индӧд	решение
индӧд	указатель
индӧд	наставления
инерция	инерция
инженер	инженер
инним	топонимия
инспектор	инспектор
инспекция	инспекция
инстинкт	инстинкт
институт	институт
инструктор	инструктор
интеллигенция	интеллигенция
интервенция	интервенция
интервью	интервью
интерес	интерес
интернат	интернат
интонация	интонация
информация	информация
искусство	искусство
исследователь	исследователь
итог	итог
ичинь	мачеха
ичӧтдыр	детство
ичӧттор	частность
йиг	таран
йиді	айсберг
йики	ость
йирым	октябрь
йирӧданін	пастбище
йитвеж	застёжка
йитчытӧмлун	противоречивость
йитӧс	цепь
йод	йод
йыв	остриё
йыв	кончик
йыв	наконечник
йӧктӧдантор	плясовая
йӧн	осот
йӧнгыль	луковица
йӧнгыль	комок
йӧр	загон
йӧрдан	прорубь
йӧрдан	иордань
йӧршитӧмин	неволя
йӧрыш	объём
кабалатор	записка
кабина	кабина
кабыр	кулак
кабыр	хватка
кавычка	кавычки
кагадыр	младенчество
кагук	малютка
кадпас	дата
кадр	кадры
кадриль	кадриль
каета	раскаяние
каземат	каземат
казначей	казначей
казначейство	казначейство
казнь	казнь
казьт	воспоминание
казьтыланпом	наследство
казьтылантор	воспоминание
казьтылӧм	воспоминание
казьтылӧм	упоминание
казьтылӧм	напоминание
казявтӧмлун	недогадливость
какао	какао
каланча	каланча
калган	калган
калека	калека
калым	взятка
калькулятор	калькулятор
кальсы	клёст
камаш	ботинки
камаши	ботинки
каменщик	каменщик
камера	камера
камин	камин
камод	комод
кампания	кампания
кампанньӧ	компания
кампорка	конфорка
канава	канава
канал	канал
канализация	канализация
канат	канат
канва	канва
кандидатура	кандидатура
каникул	каникулы
канонада	канонада
кант	кант
кантора	контора
каньпи	котёнок
капелла	капелла
капитал	капитал
капитализм	капитализм
капиталист	капиталист
капитуляция	капитуляция
капкан	капкан
капсула	капсула
караб	корабль
карандаш	карандаш
карантин	карантин
карбас	паром
кардиограмма	кардиограмма
карета	карета
каризна	девичник
карикатура	карикатура
карнан	коромысло
карниз	карниз
карниз	наличник
картеч	картечь
картина	картина
картинка	картинка
карточка	карточка
кассир	кассир
катаник	валенки
катарга	каторга
катаржник	каторжник
катастрофа	катастрофа
категория	категория
катер	катер
катов	наклон
каток	каток
катшасин	ромашка
кафе	кафе
кафедра	кафедра
качай	качели
качество	качество
каюта	каюта
квалификация	квалификация
квартирант	квартирант
квастлун	хвастливость
квитанция	квитанция
кебӧс	сиг
кевманін	молельня
кеж	дерюга
келанін	брод
кельыдлун	бледность
кепка	кепка
кер	лес
керас	вырубка
керӧмтор	изделие
кидас	бесплодный
киллюшка	избушка
килограмм	килограмм
километр	километр
киль	перхоть
кильчӧ	крыльцо
кималас	ощупь
кинжал	кинжал
кино	кино
киноартист	киноартист
кинокамера	кинокамера
кинокартина	кинокартина
киномеханик	киномеханик
киномойд	киносказка
кинорыт	киновечер
кинотеатр	кинотеатр
кинофестиваль	кинофестиваль
кинофильм	кинофильм
киняув	подмышки
киподтуй	мастерство
кипом	ручной
кирка	кирка
кисточка	кисточка
кисьмӧмлун	зрелость
китель	китель
китыр	горсть
китыр	пучок
кишечник	кишечник
кишка	кишка
клад	клад
кладбище	кладбище
кладовщик	кладовщик
классик	классик
клеитантор	заклейка
клей	клей
клейма	клеймо
клепайтӧмин	склепка
клестер	клейстер
клетка	клетка
климат	климат
клуб	клуб
клумба	клумба
кльӧк	сок
кляп	кляп
клятва	клятва
клёш	клёш
кнопка	кнопка
коа	шалаш
кобура	кобура
ковтыс	долина
ковтӧмтор	безделушка
коддьӧм	подобный
кодекс	кодекс
кодзувкоткар	муравейник
кожовник	кожевник
козъяин	ельник
козяль	прялка
койбедь	рогатина
койка	койка
кок	ножка
кокбӧр	каблук
кокйӧр	сила
коклябӧр	пятка
кокнилун	облегчение
кокнилун	легкомыслие
кокнилун	лёгкость
кокньӧд	облегчение
кокньӧд	помощь
кокньӧд	льгота
коко	яичко
коколюка	клюка
кокчӧр	голень
кокша	козлы
кокша	таган
кола	шалаш
коласт	промежуток
коласт	щель
коласт	зазор
колготки	колготки
колера	холера
колледж	колледж
коллектив	коллектив
коллекция	коллекция
колодка	колодка
колония	колония
колонна	колонна
колпак	колпак
колун	колун
колхозник	колхозник
коль	шишка
коль	серёжки
кольмӧдан	угарный
кольмӧдан	отравляющий
кольта	сноп
кольчуга	кольчуга
команда	команда
командировка	командировка
комбайн	комбайн
комбайнёр	комбайнер
комбат	комбат
комбикӧрым	комбикорм
комбинат	комбинат
комбинезон	комбинезон
комендант	комендант
коми	коми
комиссар	комиссар
комиссариат	комиссариат
комиссия	комиссия
комитет	комитет
коммерсант	коммерсант
коммунизм	коммунизм
коммунист	коммунист
компартия	компартия
комплекс	комплекс
комплект	комплект
композитор	композитор
компот	компот
компресс	компресс
комсомол	комсомол
комсомолеч	комсомолец
комсомолка	комсомолка
комсорг	комсорг
конвоир	конвоир
конгресс	конгресс
конкурент	конкурент
консерватория	консерватория
конспект	конспект
конституция	конституция
конструкция	конструкция
консульство	консульство
консультация	консультация
контракт	контракт
контрактация	контрактация
контратака	контратака
контролёр	контролёр
контузия	контузия
конференция	конференция
конфискация	конфискация
конфликт	конфликт
концерт	концерт
коньки	коньки
коньӧр	жалкий
конюк	конюх
конюшня	конюшня
кооператив	кооператив
кооперация	кооперация
копия	копия
копыр	поклон
коридор	коридор
кормушка	кормушка
король	король
корпа	корпус
корпус	корпус
корректор	корректор
корреспондент	корреспондент
корсянтор	искомый
корӧб	труха
корӧг	ком
корӧм	просьба
корӧм	требование
корӧм	спрос
корӧм	повестка
корӧмтор	заказ
корӧмтор	требование
корӧсь	веник
коскытш	пояс
коскытш	ремень
кослун	сухость
косметика	косметика
космос	космос
кост	зазор
косттор	щёлка
костюм	костюм
косысьпиян	утята
коттедж	коттедж
котыр	рой
котыртчытӧмлун	неорганизованность
кочегар	кочегар
кочӧг	колики
кошта	кошт
край	горбыль
край	край
крайтор	краюшка
краковяк	краковяк
краля	краля
кран	кран
краситчанін	красильня
краска	краска
крашенина	крашенина
кредит	кредит
крепыдлун	крепость
крепыдлун	прочность
крепӧсьт	крепость
креслӧ	кресло
крест	крест
крестьянка	крестьянка
критик	критик
критика	критика
круг	круг
кружка	кружка
кружок	кружок
круиз	круиз
крукӧдчан	ловушка
крупчатка	крупчатка
крут	крутой
крутін	крутизна
крысапи	крысёнок
крӧвать	кровать
ку	сочень
кувтӧмлун	бессмертие
кувшин	кувшин
куд	шкатулка
куд	клетка
куд	ящик
кудель	кудель
кужанлун	умение
кужтӧмлун	неумение
куз	хвощ
кузнеч	кузнец
кузнеча	кузница
кузов	кузов
кузьмӧслун	продолговатость
куйланін	лёжка
кулим	нерест
кулинар	кулинар
кулон	кулон
кульманін	нерестилище
культтӧвар	культтовары
кулёк	кулёк
кума	кума
кумыльга	водоворот
кунва	щёлок
кунӧр	буря
куплет	куплет
куран	грабли
куреньга	скелет
курич	косяк
курорт	курорт
курччӧмин	укус
курыдлун	горечь
курьер	курьер
курӧк	курок
куст	куст
кустарник	кустарник
кусынь	складка
кусынь	морщина
кусыняин	кривизна
кусӧдчысь	пожарник
кусӧк	кусок
кутчӧс	прицеп
кутян	щенок
кутӧд	бережливость
кутӧд	запрет
кучер	кучер
кучикгор	бубен
кушак	кушак
кушин	проталина
кушман	редька
кыа	заря
кыан	текстильный
кыв	маятник
кыв	слово
кывберт	скороговорка
кывбертас	скороговорка
кывбертлас	скороговорка
кывбур	стихотворение
кывйӧз	поговорка
кывйӧз	присловье
кывкуттӧмлун	безответственность
кывпас	голос
кывсянтор	достопримечательность
кывтэчас	фразеологизм
кывтэчас	словосочетание
кывчукӧр	словарь
кывшусьӧг	пословица
кызку	ватрушка
кызкуа	ватрушка
кызталун	толщина
кызін	утолщение
кыйӧмтор	добыча
кылӧдчанін	сплав
кынтӧм	озноб
кынӧмпӧт	пропитание
кып	гимн
кыпыдлун	жизнерадостность
кыпыдлун	воодушевление
кырас	русло
кырныш	ворон
кырнышпи	воронёнок
кырув	уклон
кырым	подпись
кырымпас	подпись
кытшов	оборот
кытшыль	изгиб
кыш	скорлупа
кыш	шелуха
кыш	обёртка
кыш	обложка
кӧбрӧг	погреб
кӧвдум	колобок
кӧврига	буханка
кӧвтым	бредень
кӧдзыдлун	холод
кӧдзыдін	холод
кӧзяева	хозяева
кӧзяин	хозяин
кӧзяйка	хозяйка
кӧзӧд	ледник
кӧинпи	волчонок
кӧлас	воротник
кӧлуй	принадлежности
кӧлыс	ворот
кӧлыс	связка
кӧлӧкӧльчик	колокольчик
кӧлӧсник	колосник
кӧм	обувь
кӧмкот	обувь
кӧмутина	хомутина
кӧнов	дуга
кӧнӧбой	проныра
кӧнӧвал	коновал
кӧпейка	копейка
кӧрпи	оленёнок
кӧртас	связка
кӧртвом	удила
кӧртдой	тысячелистник
кӧртым	аренда
кӧртымалан	арендный
кӧрчага	корчага
кӧрӧб	короб
кӧрӧбъя	коробок
кӧсйӧг	умысел
кӧсйӧмтор	обещанное
кӧстер	костёр
кӧсынка	косынка
кӧтас	примочка
кӧчан	капуста
кӧчпи	зайчонок
кӧш	ковш
кӧшель	кисет
кӧшель	кошелёк
лабаз	навес
лаборант	лаборант
лава	лава
лагер	лагерь
ладан	ладан
лажмыдлун	мелкость
лазарет	лазарет
лайда	низина
лайка	лайка
лайкан	оцеп
лайков	ложбина
лайкӧсін	долина
лайнер	лайнер
лак	лак
лакей	лакей
лампочка	лампочка
лапкор	подорожник
лапкор	лопух
лапӧд	клапан
лар	ларь
лареч	ларец
ларёк	ларёк
ласича	ласка
ласта	бечевник
лауреат	лауреат
лача	надежда
левпи	львёнок
легенда	легенда
легӧдӧм	тряска
лежнӧг	шиповник
лезвие	лезвие
лейка	лейка
лейтенант	лейтенант
лекало	лекало
лекар	лекарь
лекарство	лекарство
лексика	лексика
лекция	лекция
лем	клей
лем	слизь
лента	лента
леопард	леопард
лесоводство	лесоводство
леспромхоз	леспромхоз
лестука	рваный
лесьт	ласковый
леторос	поросль
летчысь	шерстобит
лешсьӧм	издёрганный
либерализм	либерализм
ликёр	ликёр
лилипут	лилипут
лимит	лимит
лимонад	лимонад
лингвист	лингвист
лингвистика	лингвистика
линейка	линейка
линза	линза
лиризм	лиризм
лирик	лирик
лирика	лирика
лисички	лисички
лист	лист
лист	противень
лист	лист
листовка	листовка
литератор	литератор
литература	литература
литр	литр
лихорадка	лихорадка
лицей	лицей
лицензия	лицензия
личалӧмин	слабина
личинка	личинка
личлун	послабление
личлэдзлытӧмлун	напряжённость
личыда	слабо
личыда	легко
личӧдӧм	облегчение
лишнӧйтор	лишнее
лоантор	будущее
лобзик	лобзик
лов	душа
ловгӧн	пушок
ловпуаин	ольховник
логика	логика
лодыр	лодырь
лозунг	лозунг
локатор	локатор
лолыштӧм	передышка
ломбард	ломбард
ломзьӧдчан	растопка
лоток	лоток
лоӧм	наступление
лоӧмтор	происшедшее
луд	пастбище
лудитчысь	лудильщик
лудысь	чесоточный
лудӧм	чесотка
луж	полуда
луккок	луковица
лунатик	лунатик
луннебӧг	дневник
луноход	луноход
лунысъя	подённый
лупа	лупа
лутш	сустав
лутш	запястье
лыбӧд	возвышенность
лыд	счёт
лыд	количество
лыд	число
лыддьӧг	перечень
лыддьӧдлӧм	причитание
лыддьӧмтор	прочитанное
лыдпас	цифра
лыжник	лыжник
лызнича	лыжня
лыйсьысь	трескучий
лыйсьӧм	перестрелка
лыйсьӧм	обстрел
лымань	снегурочка
лымдорчача	подснежник
лыпом	косточка
лысер	кости
лысьтысян	доильный
лытка	желудок
лытун	скиталец
лышкыдлун	щедрость
лыян	ружьё
льӧмкай	свиристель
лэбалан	самолёт
лэдзчысьтӧмлун	настойчивость
лэдзӧм	налитый
лэптан	выдерживающий
лэчталысь	точильщик
лэчыдлун	резкость
лэчыдлун	острота
любов	любовь
любӧйтор	всё
люк	люк
люстра	люстра
лютлун	тяготение
люцерна	люцерна
ляблун	изнеженность
ляблун	чувствительность
лявзӧм	тявканье
лявзӧм	вой
лявут	мелюзга
ляксьӧмин	пятно
лямка	лямка
ляпасея	неряха
ляпасея	сплетница
ляпкыдлун	плоскость
ляпкыдін	мель
ляпкыдін	брод
ляті	корь
лёкгоршӧн	истошно
лёклун	грубость
лёклун	скверность
лёклун	суровость
лёкпоз	злюка
лёктор	недостаток
лёльӧ	гусеница
лётчик	лётчик
лӧвгун	нытик
лӧвтӧм	хныканье
лӧглун	ненависть
лӧньлун	тишина
лӧньлун	спокойствие
лӧньӧдін	заводь
лӧсьыдтор	хорошее
лӧсьыдтӧм	неудобный
лӧсьыдтӧм	неаккуратный
лӧсьыдтӧм	неинтересный
лӧсьӧдӧм	подставленный
лӧсьӧдӧмтор	приобретение
лӧсьӧдӧмтор	измышление
лӧсявтӧмтор	неподходящее
лӧсялантор	подходящее
мавзолей	мавзолей
магазин	магазин
магнит	магнит
магометана	магометане
мазь	мазь
май	май
майка	майка
майӧг	кол
максимум	максимум
мамонт	мамонт
мампас	родинка
мампассьӧ	монпансье
мамча	медуница
манакиня	монахиня
мандат	мандат
мандолина	мандолина
манифест	манифест
манифестация	манифестация
марганцовка	марганцовка
маргарин	маргарин
маргаритка	маргаритка
мармелад	мармелад
март	март
мартышка	мартышка
массаж	массаж
масштаб	масштаб
масьт	масть
математик	математик
материал	материал
материализм	материализм
материалист	материалист
матысатор	близкое
матыслун	близость
мач	мяч
машинист	машинист
машинистка	машинистка
машинка	машинка
маяк	маяк
мегыр	дуга
мегӧ	барашек
меда	наёмный
медаль	медаль
медбӧръятор	последнее
медицина	медицина
мелодия	мелодия
мельник	мельник
меньшевизм	меньшевизм
мерка	мерка
месай	хозяин
месань	хозяйка
места	место
местатор	местечко
метеорит	метеорит
метод	метод
методика	методика
метр	метр
метро	метро
меть	наравне
механизатор	механизатор
механизм	механизм
механик	механик
механика	механика
мешӧк	мешок
мещанин	мещанин
микроб	микроб
микроскоп	микроскоп
микрофон	микрофон
милиционер	милиционер
миллиметр	миллиметр
миллионер	миллионер
милӧсьт	милость
мина	мина
минерал	минерал
минимум	минимум
министерство	министерство
министр	министр
миномёт	миномёт
минус	минус
минут	минута
миссионер	миссионер
миссия	миссия
мистика	мистика
мисьтӧмлун	грубость
митинг	митинг
миф	миф
мичлун	красота
мичмӧдантор	украшение
мичмӧдчантор	украшение
мичмӧдчантор	косметика
мичӧдчысь	красильщик
мишень	мишень
мобилизация	мобилизация
мода	мода
мода	манера
мода	сложение
мойд	сказка
мойпи	бобрёнок
молебен	молебен
молекула	молекула
молитва	молитва
мольберт	мольберт
момга	торф
монархист	монархист
монтаж	монтаж
монтажник	монтажник
монтёр	монтёр
мораль	мораль
мороз	мороз
морс	морс
мортлун	человечность
морттуй	характер
морттуй	разум
моряк	моряк
мотив	мотив
мотор	мотор
мотоцикл	мотоцикл
мошенник	мошенник
мувердас	удобрение
мувый	нефть
мудерпоз	хитрец
мудзлун	усталость
мудӧд	завалинка
мудӧд	насыпь
муза	муза
музей	музей
музыка	музыка
музыкант	музыкант
муйӧж	грунт
мукуа	землянка
мукӧдтор	иное
мунанног	способ
мундир	мундир
мунӧм	ход
мунӧм	сходство
мунӧм	расход
муош	крот
муртӧс	мерка
мусир	нефть
муслун	любовь
мусюр	водораздел
мутипи	бесёнок
мучудӧ	диковинка
мушка	мушка
мыв	сознание
мыджсянтор	опора
мыж	вина
мыжлун	виновность
мыжтӧмлун	невиновность
мыльк	холм
мыльктор	бугорок
мын	пошлина
мыр	пень
мырпом	морошка
мыт	понос
мыччӧд	данные
мыш	спина
мыш	горб
мышвыв	назад
мышкырлун	сутулость
мышноп	рюкзак
мӧвп	мечта
мӧвпсям	мировоззрение
мӧдлапӧв	заречье
мӧдтор	другое
мӧлӧтник	молотобоец
мӧссёркни	турнепс
набалдашник	набалдашник
набор	набор
наборщик	наборщик
навигация	навигация
нагайка	нагайка
награда	награда
нагрузка	нагрузка
надея	надежда
нажӧвитӧмтор	нажитое
наказ	наказ
наказанньӧ	наказание
накӧвальня	наковальня
налог	налог
налёт	налёт
напаръя	бурав
нар	нары
нарад	наряд
нартлун	безжалостность
наследник	наследник
наследство	наследство
насмука	насморк
настоятель	настоятель
национализм	национализм
националист	националист
национальносьт	национальность
нация	нация
начальник	начальник
начальство	начальство
наянлун	хитрость
небылича	небылица
небӧг	книга
небӧгтор	брошюра
невежа	невежа
невежество	невежество
невеста	невеста
невӧля	неволя
незбыль	неправда
неладнӧтор	неладное
немруй	мямля
неправда	неправда
неправлун	неправота
нерв	нерв
нетужилов	сорвиголова
неудача	неудача
неурожай	неурожай
нефтяник	нефтяник
нешуд	несчастье
ним	имя
ним	название
ним	звание
нималантор	достопримечательность
нимкодьлун	радость
нимкодьтор	приятное
нимпас	прозвище
новобранеч	новобранец
ног	послелог
номерок	номерок
ноп	котомка
норлун	грусть
норт	нарты
носки	носки
нотариус	нотариус
ноябр	ноябрь
нужда	нужда
нук	внук
нур	пропитание
нуртор	пропитание
нуръясянтор	еда
нуръясянін	закусочная
нывлун	девичество
нывсет	девичник
ныжлун	тупость
ныжлун	бессилие
ныр	нос
ныр	направление
ныркӧрша	переносица
ныртшуп	переносица
нырщик	вожак
ньӧбас	покупка
ньӧв	стрела
ньӧр	поросль
ньӧртор	прутик
нюдзлун	гибкость
нюйт	тина
нюйт	ил
нюйт	грязи
нюкыль	сгиб
нюкыр	корчи
нюусись	тюлень
няйтпоз	грязнуля
няк	ось
нярлун	чувствительность
нярлун	изнеженность
нёринь	наклон
нӧбас	ноша
нӧбовтас	пучок
нӧдкыв	загадка
нӧк	сметана
нӧш	колотушка
нӧш	валёк
обласьт	область
облигация	облигация
обоз	обоз
образ	образ
оброк	аренда
оброк	оброк
обряд	обряд
обычай	обычай
ов	фамилия
овмӧс	хозяйство
од	всходы
од	стебель
од	зелень
одеколон	одеколон
ожман	война
озырлун	богатство
оккупант	оккупант
оккупация	оккупация
околыш	околыш
округ	округ
окта	эффективный
оланподув	конституция
оланін	местопребывание
оласног	быт
оласног	обычай
олимпиада	олимпиада
олысь	бодрствующий
олӧм	быт
олӧм	бодрствование
омра	дягиль
омӧльтор	плохое
ониш	лень
опекун	опекун
оператор	оператор
операция	операция
опись	опись
ор	гной
оратор	оратор
организация	организация
организм	организм
орден	орден
ордним	фамилия
ордым	просека
ордӧмин	гнойник
оркестр	оркестр
орс	плеть
от	ширь
отбой	отбой
отечество	отечество
отличник	отличник
отпуск	отпуск
отрава	отрава
отряд	отряд
отчизна	отчизна
отчёт	отчёт
отыр	люди
отыр	богатырь
официантка	официантка
охра	охра
охрана	охрана
ошкуй	ушкуйник
ошпи	медвежонок
паб	ботва
падей	маска
падей	ряженый
падмӧг	задержка
падъян	короб
паз	паз
пай	часть
пай	лепта
пайщик	пайщик
пак	пах
пакля	пакля
пакт	пакт
пактас	испарение
пакӧсьт	проказа
палак	глыба
палак	пласт
палач	палач
палуба	палуба
палъя	комлистый
пальник	подсека
пальӧдчанін	вытрезвитель
паметь	память
памятник	памятник
пан	пан
панапида	панихида
панас	суть
панас	вступление
паника	паника
панов	отруби
панорама	панорама
паныдасьлытӧмтор	фантастика
паныдасьлытӧмтор	уникум
паньтӧм	тёзка
папка	папка
папуша	бумажник
параграф	параграф
парикмахер	парикмахер
парикмахерскӧй	парикмахерская
парк	парк
парламент	парламент
пароль	пароль
парсасьӧмин	царапина
партбилет	партбилет
партбюро	партбюро
партизан	партизан
партизанка	партизанка
партком	партком
парторг	парторг
пасека	пасека
пасйӧд	замечание
пасйӧд	примечание
паспорт	паспорт
пассажир	пассажир
паста	паста
паськыдін	простор
патент	патент
патерщик	квартирант
патриарх	патриарх
патриотизм	патриотизм
патронташ	патронташ
пашкырлун	пышность
паяльник	паяльник
паёк	паёк
пеган	подпалина
педагог	педагог
педаль	педаль
педучилище	педучилище
пежгаг	ящерица
пежлун	гнусность
пезин	силок
пекнича	пятница
пель	слух
пельмень	пельмени
пельтӧмлун	глухота
пельшӧр	фельдшер
пемдандор	сумерки
пенсия	пенсия
перебой	перебой
переворот	переворот
перевязка	перевязка
передача	передача
переплёт	переплёт
перепроизводство	перепроизводство
перерыв	перерыв
перестройка	перестройка
переч	перец
перилӧ	перила
перспектива	перспектива
перӧ	перо
песласянін	прачечная
петантор	выделение
петас	всходы
петель	фитиль
петкӧдлантор	репертуар
петкӧдлас	показатель
петшӧраин	крапивник
печат	пятно
печат	печать
печенньӧ	печенье
печик	щелчок
печкан	пряслице
пещера	пещера
пианино	пианино
пилипызь	опилки
пилот	пилот
пипетка	пипетка
пипуаин	осинник
пипӧв	дети
пират	пират
писатель	писатель
пистолет	пистолет
письмӧ	письмо
письтӧмин	прорыв
питомник	питомник
питшӧг	пазуха
пиявка	пиявка
плавки	плавки
плавкӧслун	плоскость
плакат	плакат
план	план
планета	планета
планӧвик	плановик
плацдарм	плацдарм
плацкарт	плацкарт
плащ	плащ
плен	плен
пленум	пленум
плод	плод
пломба	пломба
площадка	площадка
плуг	плуг
плут	плут
плёнка	плёнка
поверье	поверье
повесьт	повесть
поводдя	погода
погода	буря
пограничник	пограничник
подбӧр	каблук
подвиг	подвиг
поддін	комель
поддін	основание
подписка	подписка
подполковник	подполковник
подполье	подполье
подпольщик	подпольщик
подстанция	подстанция
подъезд	подъезд
поезд	поезд
поз	гнездо
поз	коробочка
позтыр	выводок
позьтӧмлун	невозможность
позянлун	возможность
покрывалӧ	покрывало
поле	поле
поликлиника	поликлиника
политэкономия	политэкономия
полномочие	полномочие
полупроводник	полупроводник
польк	пузырь
помка	отговорка
понгум	василистник
понедельник	понедельник
понзӧр	овсюг
понпиян	щенята
попаддя	попадья
пором	затор
порськок	лопух
порсьпи	поросёнок
порт	порт
портрет	портрет
портсигар	портсигар
портфель	портфель
порция	порция
порча	порок
поснитор	подробности
посол	посол
посольство	посольство
пост	пост
поступок	поступок
потас	русло
потас	просека
потас	пробор
потребитель	потребитель
потш	жердь
потшӧс	заграждение
поход	поход
походка	походка
почва	почва
почерк	почерк
почёт	почёт
поэзия	поэзия
поэма	поэма
поэт	поэт
праватӧмлун	бесправие
правительство	правительство
правлун	правота
прамӧйлун	порядочность
прать	клок
представитель	представитель
президиум	президиум
преимущество	преимущество
